ticker,slug,name,sector,currency,indices,kind,rows,start_date,end_date,last_close,interval,file,updated_at
AAPL,AAPL,Apple,Technologie,USD,"S&P 500, Nasdaq 100",stock,501,2024-08-20,2026-08-19,316.830000,1d,AAPL.csv,2026-08-20T19:53:10+00:00
ABBV,ABBV,AbbVie,Sante,USD,S&P 500,stock,500,2024-08-20,2026-08-19,265.970000,1d,ABBV.csv,2026-08-20T19:53:16+00:00
ABNB,ABNB,Airbnb,Consommation discretionnaire,USD,"S&P 500, Nasdaq 100",stock,501,2024-08-20,2026-08-19,186.390000,1d,ABNB.csv,2026-08-20T19:53:13+00:00
ABT,ABT,Abbott Laboratories,Sante,USD,S&P 500,stock,501,2024-08-20,2026-08-19,114.430000,1d,ABT.csv,2026-08-20T19:53:16+00:00
AC.PA,AC_PA,Accor,Consommation discretionnaire,EUR,CAC 40,stock,509,2024-08-20,2026-08-19,45.580000,1d,AC_PA.csv,2026-08-20T19:53:19+00:00
ACA.PA,ACA_PA,Credit Agricole,Finance,EUR,CAC 40,stock,509,2024-08-20,2026-08-19,19.165000,1d,ACA_PA.csv,2026-08-20T19:53:21+00:00
ACN,ACN,Accenture,Technologie,USD,S&P 500,stock,501,2024-08-20,2026-08-19,183.170000,1d,ACN.csv,2026-08-20T19:53:18+00:00
ADBE,ADBE,Adobe,Technologie,USD,"S&P 500, Nasdaq 100",stock,501,2024-08-20,2026-08-19,272.470000,1d,ADBE.csv,2026-08-20T19:53:11+00:00
ADP,ADP,Automatic Data Processing,Industrie,USD,"S&P 500, Nasdaq 100",stock,501,2024-08-20,2026-08-19,277.220000,1d,ADP.csv,2026-08-20T19:53:14+00:00
AI.PA,AI_PA,Air Liquide,Materiaux,EUR,CAC 40,stock,509,2024-08-20,2026-08-19,166.780000,1d,AI_PA.csv,2026-08-20T19:53:19+00:00
AIR.PA,AIR_PA,Airbus,Industrie,EUR,CAC 40,stock,509,2024-08-20,2026-08-19,208.050000,1d,AIR_PA.csv,2026-08-20T19:53:19+00:00
ALO.PA,ALO_PA,Alstom,Industrie,EUR,CAC 40,stock,509,2024-08-20,2026-08-19,15.875000,1d,ALO_PA.csv,2026-08-20T19:53:20+00:00
AMAT,AMAT,Applied Materials,Technologie,USD,"S&P 500, Nasdaq 100",stock,501,2024-08-20,2026-08-19,496.170000,1d,AMAT.csv,2026-08-20T19:53:12+00:00
AMD,AMD,Advanced Micro Devices,Technologie,USD,"S&P 500, Nasdaq 100",stock,501,2024-08-20,2026-08-19,466.420000,1d,AMD.csv,2026-08-20T19:53:11+00:00
AMGN,AMGN,Amgen,Sante,USD,"S&P 500, Nasdaq 100",stock,501,2024-08-20,2026-08-19,442.360000,1d,AMGN.csv,2026-08-20T19:53:14+00:00
AMZN,AMZN,Amazon.com,Consommation discretionnaire,USD,"S&P 500, Nasdaq 100",stock,501,2024-08-20,2026-08-19,265.840000,1d,AMZN.csv,2026-08-20T19:53:11+00:00
ASML,ASML,ASML Holding (ADR),Technologie,USD,Nasdaq 100,stock,501,2024-08-20,2026-08-19,1751.730000,1d,ASML.csv,2026-08-20T19:53:14+00:00
AVGO,AVGO,Broadcom,Technologie,USD,"S&P 500, Nasdaq 100",stock,501,2024-08-20,2026-08-19,362.480000,1d,AVGO.csv,2026-08-20T19:53:11+00:00
AXP,AXP,American Express,Finance,USD,S&P 500,stock,500,2024-08-21,2026-08-19,339.900000,1d,AXP.csv,2026-08-20T21:01:28+00:00
BA,BA,Boeing,Industrie,USD,S&P 500,stock,501,2024-08-20,2026-08-19,222.200000,1d,BA.csv,2026-08-20T19:53:18+00:00
BAC,BAC,Bank of America,Finance,USD,S&P 500,stock,501,2024-08-20,2026-08-19,63.170000,1d,BAC.csv,2026-08-20T19:53:15+00:00
BKNG,BKNG,Booking Holdings,Consommation discretionnaire,USD,"S&P 500, Nasdaq 100",stock,501,2024-08-20,2026-08-19,213.000000,1d,BKNG.csv,2026-08-20T19:53:13+00:00
BLK,BLK,BlackRock,Finance,USD,S&P 500,stock,501,2024-08-20,2026-08-19,1158.920000,1d,BLK.csv,2026-08-20T19:53:15+00:00
BN.PA,BN_PA,Danone,Consommation de base,EUR,CAC 40,stock,509,2024-08-20,2026-08-19,65.680000,1d,BN_PA.csv,2026-08-20T19:53:21+00:00
BNP.PA,BNP_PA,BNP Paribas,Finance,EUR,CAC 40,stock,509,2024-08-20,2026-08-19,106.780000,1d,BNP_PA.csv,2026-08-20T19:53:20+00:00
BRK-B,BRK-B,Berkshire Hathaway (B),Finance,USD,S&P 500,stock,501,2024-08-20,2026-08-19,499.620000,1d,BRK-B.csv,2026-08-20T19:53:15+00:00
BVI.PA,BVI_PA,Bureau Veritas,Industrie,EUR,CAC 40,stock,509,2024-08-20,2026-08-19,27.440000,1d,BVI_PA.csv,2026-08-20T19:53:20+00:00
CA.PA,CA_PA,Carrefour,Consommation de base,EUR,CAC 40,stock,509,2024-08-20,2026-08-19,15.770000,1d,CA_PA.csv,2026-08-20T19:53:21+00:00
CAP.PA,CAP_PA,Capgemini,Technologie,EUR,CAC 40,stock,509,2024-08-20,2026-08-19,110.350000,1d,CAP_PA.csv,2026-08-20T19:53:20+00:00
CAT,CAT,Caterpillar,Industrie,USD,S&P 500,stock,501,2024-08-20,2026-08-19,816.150000,1d,CAT.csv,2026-08-20T19:53:18+00:00
CDNS,CDNS,Cadence Design Systems,Technologie,USD,"S&P 500, Nasdaq 100",stock,501,2024-08-20,2026-08-19,314.980000,1d,CDNS.csv,2026-08-20T19:53:12+00:00
CL,CL,Colgate-Palmolive,Consommation de base,USD,S&P 500,stock,500,2024-08-21,2026-08-19,90.870000,1d,CL.csv,2026-08-20T21:01:28+00:00
COST,COST,Costco Wholesale,Consommation de base,USD,"S&P 500, Nasdaq 100",stock,501,2024-08-20,2026-08-19,956.990000,1d,COST.csv,2026-08-20T19:53:13+00:00
CRM,CRM,Salesforce,Technologie,USD,S&P 500,stock,501,2024-08-20,2026-08-19,206.090000,1d,CRM.csv,2026-08-20T19:53:18+00:00
CRWD,CRWD,CrowdStrike,Technologie,USD,"S&P 500, Nasdaq 100",stock,501,2024-08-20,2026-08-19,201.630000,1d,CRWD.csv,2026-08-20T19:53:13+00:00
CS.PA,CS_PA,AXA,Finance,EUR,CAC 40,stock,509,2024-08-20,2026-08-19,43.980000,1d,CS_PA.csv,2026-08-20T19:53:20+00:00
CSCO,CSCO,Cisco Systems,Technologie,USD,"S&P 500, Nasdaq 100",stock,501,2024-08-20,2026-08-19,110.550000,1d,CSCO.csv,2026-08-20T19:53:11+00:00
CVS,CVS,CVS Health,Sante,USD,S&P 500,stock,500,2024-08-21,2026-08-19,93.650000,1d,CVS.csv,2026-08-20T21:01:28+00:00
CVX,CVX,Chevron,Energie,USD,S&P 500,stock,501,2024-08-20,2026-08-19,205.760000,1d,CVX.csv,2026-08-20T19:53:17+00:00
DG.PA,DG_PA,Vinci,Industrie,EUR,CAC 40,stock,509,2024-08-20,2026-08-19,120.350000,1d,DG_PA.csv,2026-08-20T19:53:24+00:00
DIS,DIS,Walt Disney,Communication,USD,S&P 500,stock,501,2024-08-20,2026-08-19,106.930000,1d,DIS.csv,2026-08-20T19:53:18+00:00
DSY.PA,DSY_PA,Dassault Systemes,Technologie,EUR,CAC 40,stock,509,2024-08-20,2026-08-19,22.240000,1d,DSY_PA.csv,2026-08-20T19:53:21+00:00
EDEN.PA,EDEN_PA,Edenred,Industrie,EUR,CAC 40,stock,509,2024-08-20,2026-08-19,29.060000,1d,EDEN_PA.csv,2026-08-20T19:53:21+00:00
