date,open,high,low,close,adj_close,volume,dividends,stock_splits
2024-08-20,329.929993,330.570007,328.049988,330.369995,317.849426,1790100,0.000000,0.000000
2024-08-21,330.839996,333.660004,330.540009,333.600006,320.957031,1233900,0.000000,0.000000
2024-08-22,333.890015,334.070007,329.649994,330.570007,318.041870,1679200,0.000000,0.000000
2024-08-23,331.660004,333.760010,329.670013,333.269989,320.639557,1518700,0.000000,0.000000
2024-08-26,333.079987,337.209991,331.769989,336.779999,324.016479,1692200,0.000000,0.000000
2024-08-27,335.179993,340.989990,335.000000,340.380005,327.480103,2154100,0.000000,0.000000
2024-08-28,340.559998,343.600006,335.109985,337.390015,324.603424,1528000,0.000000,0.000000
2024-08-29,340.250000,343.869995,338.970001,340.209991,327.316528,1612600,0.000000,0.000000
2024-08-30,341.000000,343.450012,338.640015,341.950012,328.990601,2004000,0.000000,0.000000
2024-09-03,341.359985,345.540009,339.670013,341.880005,328.923218,2049300,0.000000,0.000000
2024-09-04,340.000000,344.910004,338.980011,343.989990,330.953278,1478300,0.000000,0.000000
2024-09-05,344.220001,344.450012,339.500000,340.929993,328.009216,1195100,0.000000,0.000000
2024-09-06,340.700012,342.440002,336.760010,339.839996,326.960541,1613400,0.000000,0.000000
2024-09-09,340.630005,342.250000,339.089996,341.809998,328.855896,1569400,0.000000,0.000000
2024-09-10,343.809998,348.000000,342.220001,347.700012,334.522675,1655700,0.000000,0.000000
2024-09-11,346.359985,350.720001,342.239990,350.309998,337.033783,2121700,0.000000,0.000000
2024-09-12,350.480011,352.420013,345.200012,349.890015,336.629700,2182100,0.000000,0.000000
2024-09-13,351.100006,351.429993,348.790009,349.579987,336.331421,1812000,0.000000,0.000000
2024-09-16,350.839996,354.980011,349.630005,354.119995,340.699341,2536400,0.000000,0.000000
2024-09-17,355.100006,355.279999,336.309998,337.040009,324.266663,4528800,0.000000,0.000000
2024-09-18,335.000000,339.000000,332.959991,336.179993,323.439270,2150800,0.000000,0.000000
2024-09-19,340.000000,340.380005,332.230011,335.239990,322.534882,2645700,0.000000,0.000000
2024-09-20,332.320007,336.350006,331.869995,336.220001,323.477692,5231000,0.000000,0.000000
2024-09-23,337.380005,339.440002,334.049988,339.209991,326.354431,1998500,0.000000,0.000000
2024-09-24,337.940002,340.619995,335.279999,339.619995,326.748901,2842900,0.000000,0.000000
2024-09-25,335.140015,339.750000,334.160004,337.049988,324.276306,3552700,0.000000,0.000000
2024-09-26,355.010010,363.989990,349.700012,355.809998,342.325317,4454800,0.000000,0.000000
2024-09-27,356.329987,358.339996,349.299988,349.700012,336.446869,2575200,0.000000,0.000000
2024-09-30,348.500000,354.059998,347.720001,353.480011,340.083588,2424900,0.000000,0.000000
2024-10-01,354.989990,354.989990,349.899994,351.980011,338.640503,1827300,0.000000,0.000000
2024-10-02,352.709991,357.190002,351.339996,356.290009,342.787109,2421300,0.000000,0.000000
2024-10-03,359.549988,364.450012,359.329987,361.239990,347.549500,3646300,0.000000,0.000000
2024-10-04,364.200012,367.790009,359.820007,362.239990,348.511627,2131400,0.000000,0.000000
2024-10-07,360.000000,362.000000,355.850006,356.799988,343.277771,1536800,0.000000,0.000000
2024-10-08,359.529999,360.649994,357.519989,360.380005,346.722107,2348300,0.000000,0.000000
2024-10-09,360.980011,366.459991,360.769989,365.079987,351.243988,2046400,0.000000,0.000000
2024-10-10,363.559998,364.470001,358.910004,361.070007,348.799957,2088000,1.480000,0.000000
2024-10-11,362.519989,363.399994,360.059998,360.739990,348.481171,1436500,0.000000,0.000000
2024-10-14,361.579987,365.619995,361.160004,364.600006,352.209991,2256500,0.000000,0.000000
2024-10-15,365.429993,371.000000,365.429993,368.660004,356.132019,2955900,0.000000,0.000000
2024-10-16,365.690002,372.869995,364.880005,372.260010,359.609711,2110700,0.000000,0.000000
2024-10-17,373.000000,375.510010,371.779999,375.149994,362.401459,1906900,0.000000,0.000000
2024-10-18,375.510010,377.329987,373.649994,376.859985,364.053375,1893300,0.000000,0.000000
2024-10-21,375.000000,377.339996,374.209991,376.029999,363.251587,1785100,0.000000,0.000000
2024-10-22,374.619995,374.859985,371.130005,371.790009,359.155670,1740200,0.000000,0.000000
2024-10-23,370.839996,372.480011,368.230011,370.630005,358.035095,2211800,0.000000,0.000000
2024-10-24,367.500000,373.440002,363.750000,364.230011,351.852600,2311800,0.000000,0.000000
2024-10-25,364.000000,365.450012,359.589996,360.799988,348.539093,2129300,0.000000,0.000000
2024-10-28,364.000000,366.989990,360.390015,361.320007,349.041443,2717700,0.000000,0.000000
2024-10-29,360.910004,365.079987,359.049988,363.040009,350.703003,2642900,0.000000,0.000000
2024-10-30,358.000000,358.829987,345.339996,346.570007,334.792725,3916800,0.000000,0.000000
2024-10-31,344.630005,347.859985,342.619995,344.820007,333.102173,3078200,0.000000,0.000000
2024-11-01,346.940002,347.950012,344.829987,345.670013,333.923309,2579800,0.000000,0.000000
2024-11-04,345.260010,346.679993,341.579987,343.899994,332.213440,1931300,0.000000,0.000000
2024-11-05,342.790009,347.420013,342.209991,345.489990,333.749420,1553900,0.000000,0.000000
2024-11-06,355.899994,357.230011,353.000000,356.130005,344.027863,3009700,0.000000,0.000000
2024-11-07,358.000000,362.000000,356.290009,360.709991,348.452179,2250500,0.000000,0.000000
2024-11-08,360.769989,362.760010,355.119995,355.529999,343.448181,2289500,0.000000,0.000000
2024-11-11,355.000000,360.640015,354.100006,357.299988,345.158051,2985200,0.000000,0.000000
2024-11-12,357.640015,362.130005,356.950012,360.609985,348.355591,3233600,0.000000,0.000000
2024-11-13,359.540009,370.640015,359.040009,370.220001,357.639038,3353900,0.000000,0.000000
2024-11-14,371.380005,372.000000,361.029999,362.070007,349.765991,3503000,0.000000,0.000000
2024-11-15,360.279999,360.309998,348.850006,353.570007,341.554840,3614700,0.000000,0.000000
2024-11-18,353.570007,355.500000,351.820007,352.790009,340.801361,1759900,0.000000,0.000000
2024-11-19,351.250000,353.970001,349.989990,353.950012,341.921936,2447000,0.000000,0.000000
2024-11-20,353.709991,357.329987,351.649994,357.070007,344.935883,1792700,0.000000,0.000000
