date,open,high,low,close,adj_close,volume,dividends,stock_splits
2024-08-20,564.479980,568.179993,559.609985,562.250000,562.250000,1219600,0.000000,0.000000
2024-08-21,562.130005,566.599976,557.909973,565.789978,565.789978,1401700,0.000000,0.000000
2024-08-22,567.070007,572.000000,555.650024,557.440002,557.440002,1627700,0.000000,0.000000
2024-08-23,565.450012,566.520020,552.500000,558.299988,558.299988,2023500,0.000000,0.000000
2024-08-26,555.030029,560.260010,555.030029,559.440002,559.440002,1387500,0.000000,0.000000
2024-08-27,554.400024,569.520020,554.340027,567.820007,567.820007,1404400,0.000000,0.000000
2024-08-28,568.219971,569.590027,557.669983,560.539978,560.539978,1289700,0.000000,0.000000
2024-08-29,567.049988,578.400024,567.049988,569.630005,569.630005,1955600,0.000000,0.000000
2024-08-30,572.200012,575.650024,568.289978,574.409973,574.409973,1983000,0.000000,0.000000
2024-09-03,576.299988,586.700012,566.789978,571.039978,571.039978,2757900,0.000000,0.000000
2024-09-04,568.869995,578.859985,565.760010,575.250000,575.250000,1615800,0.000000,0.000000
2024-09-05,570.750000,573.390015,562.530029,567.929993,567.929993,1573600,0.000000,0.000000
2024-09-06,570.900024,573.309998,558.000000,563.409973,563.409973,2096800,0.000000,0.000000
2024-09-09,567.690002,574.570007,564.440002,569.880005,569.880005,1997100,0.000000,0.000000
2024-09-10,576.750000,577.799988,567.140015,574.479980,574.479980,2030100,0.000000,0.000000
2024-09-11,573.010010,581.239990,559.349976,580.380005,580.380005,2681000,0.000000,0.000000
2024-09-12,581.450012,587.750000,572.979980,586.549988,586.549988,5506600,0.000000,0.000000
2024-09-13,532.570007,540.270020,526.599976,536.869995,536.869995,10423500,0.000000,0.000000
2024-09-16,537.400024,537.690002,521.260010,521.500000,521.500000,5248200,0.000000,0.000000
2024-09-17,524.289978,527.099976,514.580017,515.030029,515.030029,5164100,0.000000,0.000000
2024-09-18,517.010010,517.580017,506.489990,508.130005,508.130005,3997300,0.000000,0.000000
2024-09-19,518.809998,527.479980,518.020020,526.440002,526.440002,3582500,0.000000,0.000000
2024-09-20,526.440002,528.630005,515.719971,522.299988,522.299988,6100700,0.000000,0.000000
2024-09-23,525.710022,532.000000,524.960022,527.869995,527.869995,2107000,0.000000,0.000000
2024-09-24,527.719971,530.299988,521.710022,524.070007,524.070007,2842100,0.000000,0.000000
2024-09-25,526.020020,526.179993,516.239990,517.900024,517.900024,3211600,0.000000,0.000000
2024-09-26,520.510010,521.359985,512.109985,515.380005,515.380005,3282400,0.000000,0.000000
2024-09-27,516.520020,516.679993,512.299988,515.479980,515.479980,2718300,0.000000,0.000000
2024-09-30,513.830017,518.469971,511.739990,517.780029,517.780029,2587000,0.000000,0.000000
2024-10-01,517.450012,519.000000,502.500000,502.799988,502.799988,3730000,0.000000,0.000000
2024-10-02,503.869995,510.190002,502.820007,505.809998,505.809998,1981600,0.000000,0.000000
