date,open,high,low,close,adj_close,volume,dividends,stock_splits
2024-08-20,139.000000,139.460007,138.479996,138.479996,132.978424,838481,0.000000,0.000000
2024-08-21,138.320007,139.100006,138.039993,139.100006,133.573807,582196,0.000000,0.000000
2024-08-22,139.300003,139.960007,138.619995,138.880005,133.362549,479863,0.000000,0.000000
2024-08-23,139.360001,141.100006,139.279999,140.800003,135.206268,1044758,0.000000,0.000000
2024-08-26,140.860001,141.520004,140.139999,141.139999,135.532761,366350,0.000000,0.000000
2024-08-27,141.380005,142.020004,140.800003,140.860001,135.263885,676234,0.000000,0.000000
2024-08-28,141.320007,142.520004,140.779999,140.860001,135.263885,696436,0.000000,0.000000
2024-08-29,140.979996,142.039993,140.360001,140.559998,134.975800,759692,0.000000,0.000000
2024-08-30,140.139999,140.960007,138.820007,138.820007,133.304932,1306668,0.000000,0.000000
2024-09-02,138.839996,139.119995,136.139999,136.919998,131.480408,841412,0.000000,0.000000
2024-09-03,136.800003,137.679993,134.059998,134.539993,129.194946,1125541,0.000000,0.000000
2024-09-04,132.080002,134.320007,132.020004,133.580002,128.273102,1069060,0.000000,0.000000
2024-09-05,132.820007,133.199997,130.940002,131.740005,126.506210,1107690,0.000000,0.000000
2024-09-06,131.220001,132.279999,128.339996,128.339996,123.241272,1524619,0.000000,0.000000
2024-09-09,129.220001,130.639999,128.559998,129.759995,124.604858,1029445,0.000000,0.000000
2024-09-10,129.699997,131.320007,129.320007,130.440002,125.257843,948445,0.000000,0.000000
2024-09-11,130.559998,131.240005,128.820007,130.220001,125.046593,1099145,0.000000,0.000000
2024-09-12,130.919998,131.559998,128.919998,130.539993,125.353859,1143348,0.000000,0.000000
2024-09-13,130.699997,130.940002,129.580002,130.500000,125.315468,1022194,0.000000,0.000000
2024-09-16,129.699997,130.919998,129.380005,129.419998,124.278366,737384,0.000000,0.000000
2024-09-17,130.000000,131.059998,128.839996,129.720001,124.566452,986925,0.000000,0.000000
2024-09-18,129.500000,130.360001,128.580002,128.720001,123.606186,970965,0.000000,0.000000
