date,open,high,low,close,adj_close,volume,dividends,stock_splits
2024-08-20,176.490005,177.500000,170.039993,172.100006,172.100006,9549100,0.000000,0.000000
2024-08-21,173.000000,174.199997,171.039993,173.429993,173.429993,4493600,0.000000,0.000000
2024-08-22,173.000000,175.210007,172.300003,172.759995,172.759995,2788000,0.000000,0.000000
2024-08-23,173.880005,176.919998,173.169998,174.960007,174.960007,4405900,0.000000,0.000000
2024-08-26,173.000000,174.919998,172.300003,173.479996,173.479996,4034300,0.000000,0.000000
2024-08-27,173.619995,173.929993,171.250000,173.050003,173.050003,3295800,0.000000,0.000000
2024-08-28,172.300003,174.250000,170.149994,170.710007,170.710007,4550300,0.000000,0.000000
2024-08-29,171.710007,175.279999,170.619995,172.259995,172.259995,4119500,0.000000,0.000000
2024-08-30,173.139999,174.360001,171.490005,173.740005,173.740005,4146200,0.000000,0.000000
2024-09-03,167.029999,169.600006,158.300003,161.020004,161.020004,17925400,0.000000,0.000000
2024-09-04,160.279999,166.699997,160.279999,163.220001,163.220001,7316300,0.000000,0.000000
2024-09-05,164.149994,164.619995,160.100006,162.149994,162.149994,4717500,0.000000,0.000000
2024-09-06,162.500000,162.850006,156.699997,157.619995,157.619995,7328600,0.000000,0.000000
2024-09-09,162.300003,164.550003,161.110001,162.910004,162.910004,9091500,0.000000,0.000000
2024-09-10,162.610001,163.899994,157.929993,160.070007,160.070007,6367100,0.000000,0.000000
2024-09-11,159.789993,161.869995,156.100006,161.330002,161.330002,6664800,0.000000,0.000000
2024-09-12,159.419998,163.500000,159.059998,162.770004,162.770004,4742700,0.000000,0.000000
2024-09-13,159.779999,162.889999,155.600006,156.770004,156.770004,19003400,0.000000,0.000000
2024-09-16,156.250000,157.759995,154.020004,155.550003,155.550003,9955200,0.000000,0.000000
2024-09-17,156.169998,158.880005,155.139999,156.389999,156.389999,8123200,0.000000,0.000000
2024-09-18,157.000000,158.449997,154.800003,155.110001,155.110001,7714400,0.000000,0.000000
2024-09-19,157.000000,157.179993,154.270004,154.589996,154.589996,9570000,0.000000,0.000000
2024-09-20,154.009995,154.639999,152.600006,153.289993,153.289993,13919400,0.000000,0.000000
2024-09-23,153.000000,158.429993,151.649994,156.300003,156.300003,12476800,0.000000,0.000000
2024-09-24,155.800003,155.899994,153.690002,155.809998,155.809998,7414900,0.000000,0.000000
2024-09-25,156.419998,157.220001,152.039993,152.220001,152.220001,9587700,0.000000,0.000000
2024-09-26,153.940002,157.330002,152.660004,154.580002,154.580002,11414400,0.000000,0.000000
2024-09-27,155.369995,157.330002,154.389999,156.320007,156.320007,7637000,0.000000,0.000000
2024-09-30,154.789993,155.300003,151.240005,152.039993,152.039993,10902200,0.000000,0.000000
