date,open,high,low,close,adj_close,volume,dividends,stock_splits
2024-08-20,182.300003,183.050003,181.100006,181.250000,171.646271,126341,0.000000,0.000000
2024-08-21,181.550003,183.550003,181.500000,182.750000,173.066788,151996,0.000000,0.000000
2024-08-22,182.600006,183.899994,182.100006,183.050003,173.350906,121912,0.000000,0.000000
2024-08-23,182.699997,183.100006,181.550003,182.550003,172.877396,112373,0.000000,0.000000
2024-08-26,182.750000,183.649994,182.550003,183.250000,173.540298,85195,0.000000,0.000000
2024-08-27,183.199997,185.149994,183.199997,184.850006,175.055511,177896,0.000000,0.000000
2024-08-28,185.550003,186.550003,184.850006,185.050003,175.244919,185338,0.000000,0.000000
2024-08-29,184.500000,186.850006,184.149994,186.000000,176.144592,178600,0.000000,0.000000
2024-08-30,185.449997,189.800003,185.449997,187.500000,177.565109,525726,0.000000,0.000000
2024-09-02,187.600006,187.699997,185.800003,187.199997,177.281006,107816,0.000000,0.000000
2024-09-03,187.100006,188.350006,186.350006,186.899994,176.996902,205849,0.000000,0.000000
2024-09-04,182.199997,185.250000,180.699997,183.250000,173.540298,308788,0.000000,0.000000
2024-09-05,183.649994,184.449997,182.449997,183.649994,173.919098,197779,0.000000,0.000000
2024-09-06,183.100006,183.649994,179.600006,180.050003,170.509857,248153,0.000000,0.000000
2024-09-09,180.350006,181.649994,180.250000,180.449997,170.888657,181867,0.000000,0.000000
2024-09-10,187.300003,194.050003,186.350006,190.000000,179.932632,422809,0.000000,0.000000
2024-09-11,190.100006,192.000000,189.300003,190.399994,180.311432,306422,0.000000,0.000000
2024-09-12,194.000000,194.250000,191.500000,193.500000,183.247192,285871,0.000000,0.000000
2024-09-13,193.899994,195.050003,192.899994,193.149994,182.915726,319251,0.000000,0.000000
2024-09-16,189.949997,191.500000,187.649994,190.149994,180.074692,234171,0.000000,0.000000
2024-09-17,190.800003,196.250000,190.800003,192.250000,182.063416,367514,0.000000,0.000000
2024-09-18,191.750000,192.449997,191.449997,192.000000,181.826675,232821,0.000000,0.000000
2024-09-19,193.050003,196.649994,192.949997,195.100006,184.762421,326011,0.000000,0.000000
2024-09-20,194.899994,195.100006,187.800003,188.050003,178.085968,691779,0.000000,0.000000
2024-09-23,188.050003,189.399994,186.899994,188.600006,178.606827,169124,0.000000,0.000000
2024-09-24,190.050003,191.100006,188.850006,189.500000,179.459122,166017,0.000000,0.000000
2024-09-25,188.000000,189.649994,186.850006,189.649994,179.601181,220606,0.000000,0.000000
2024-09-26,190.000000,195.500000,189.750000,195.500000,185.141205,549934,0.000000,0.000000
2024-09-27,196.000000,199.899994,196.000000,199.899994,189.308075,478053,0.000000,0.000000
2024-09-30,198.149994,198.899994,193.949997,193.949997,183.673340,394591,0.000000,0.000000
