date,open,high,low,close,adj_close,volume,dividends,stock_splits
2024-08-20,264.950012,265.500000,261.029999,261.839996,258.124451,5731300,0.000000,0.000000
2024-08-21,261.100006,262.140015,259.179993,261.089996,257.385132,4648200,0.000000,0.000000
2024-08-22,261.500000,263.260010,257.269989,258.589996,254.920563,5111400,0.000000,0.000000
2024-08-23,261.989990,265.600006,260.700012,264.000000,260.253815,4711300,0.000000,0.000000
2024-08-26,263.940002,267.299988,263.239990,265.279999,261.515656,3818300,0.000000,0.000000
2024-08-27,259.649994,264.459991,259.399994,264.200012,260.450989,5276400,0.000000,0.000000
2024-08-28,261.829987,265.179993,257.359985,258.899994,255.226166,10981900,0.000000,0.000000
2024-08-29,271.010010,271.950012,256.279999,257.010010,253.363007,14301700,0.000000,0.000000
2024-08-30,257.440002,259.130005,251.000000,252.899994,249.311325,10507700,0.000000,0.000000
2024-09-03,252.619995,253.690002,246.639999,248.059998,244.540024,6190400,0.000000,0.000000
2024-09-04,246.470001,249.479996,245.160004,247.679993,244.165405,4706500,0.000000,0.000000
2024-09-05,245.979996,248.500000,245.000000,246.119995,242.627533,4083600,0.000000,0.000000
2024-09-06,247.740005,250.000000,241.440002,243.970001,240.508026,6259400,0.000000,0.000000
2024-09-09,246.500000,249.360001,244.770004,245.759995,242.272644,4588800,0.000000,0.000000
2024-09-10,247.130005,247.339996,243.309998,246.160004,242.666977,3544800,0.000000,0.000000
2024-09-11,244.809998,250.020004,242.009995,249.570007,246.028580,4822200,0.000000,0.000000
2024-09-12,251.389999,254.139999,249.570007,253.369995,249.774673,5219700,0.000000,0.000000
2024-09-13,252.539993,256.829987,252.449997,254.570007,250.957626,4998900,0.000000,0.000000
2024-09-16,254.570007,257.809998,254.570007,256.910004,253.264404,5367000,0.000000,0.000000
2024-09-17,258.720001,259.369995,254.759995,255.190002,251.568832,5423400,0.000000,0.000000
2024-09-18,256.000000,256.119995,250.960007,252.429993,249.238663,4436700,0.400000,0.000000
2024-09-19,260.720001,269.540009,258.049988,265.989990,262.627197,11022800,0.000000,0.000000
2024-09-20,266.010010,270.320007,261.320007,266.799988,263.427002,11463200,0.000000,0.000000
2024-09-23,267.250000,268.059998,262.239990,264.209991,260.869751,6034000,0.000000,0.000000
2024-09-24,269.829987,272.459991,266.290009,270.440002,267.021027,7154500,0.000000,0.000000
2024-09-25,270.450012,277.049988,269.380005,274.089996,270.624847,7920000,0.000000,0.000000
2024-09-26,276.130005,278.640015,272.709991,275.760010,272.273743,5253400,0.000000,0.000000
2024-09-27,276.260010,277.839996,275.059998,276.640015,273.142609,5220100,0.000000,0.000000
2024-09-30,273.950012,275.739990,269.140015,273.709991,270.249664,5059700,0.000000,0.000000
2024-10-01,274.140015,274.700012,269.690002,270.869995,267.445526,4369900,0.000000,0.000000
2024-10-02,273.720001,282.000000,270.850006,279.480011,275.946686,8512300,0.000000,0.000000
2024-10-03,278.989990,281.119995,277.730011,280.910004,277.358612,3868400,0.000000,0.000000
2024-10-04,283.859985,287.890015,281.470001,287.750000,284.112122,6129900,0.000000,0.000000
2024-10-07,286.579987,288.170013,283.380005,284.570007,280.972382,4794700,0.000000,0.000000
2024-10-08,286.000000,292.630005,284.100006,291.570007,287.883850,5211200,0.000000,0.000000
2024-10-09,290.820007,291.570007,287.079987,287.920013,284.280029,4851000,0.000000,0.000000
2024-10-10,287.920013,290.230011,284.619995,290.170013,286.501556,3965500,0.000000,0.000000
2024-10-11,289.209991,290.239990,286.299988,288.100006,284.457733,3597000,0.000000,0.000000
2024-10-14,289.920013,292.450012,288.250000,291.640015,287.952972,3642500,0.000000,0.000000
2024-10-15,293.459991,293.579987,288.000000,288.350006,284.704590,3850800,0.000000,0.000000
2024-10-16,287.549988,290.920013,284.230011,290.859985,287.182800,3497000,0.000000,0.000000
2024-10-17,291.959991,293.339996,290.100006,291.109985,287.429657,2830000,0.000000,0.000000
2024-10-18,292.040009,294.709991,290.149994,292.940002,289.236542,3087900,0.000000,0.000000
2024-10-21,289.000000,292.920013,288.040009,291.290009,287.607391,2712600,0.000000,0.000000
2024-10-22,289.750000,291.940002,287.649994,288.329987,284.684814,3100100,0.000000,0.000000
2024-10-23,287.730011,288.299988,282.619995,284.429993,280.834106,3227100,0.000000,0.000000
2024-10-24,286.559998,288.910004,285.179993,286.760010,283.134644,3210700,0.000000,0.000000
2024-10-25,290.000000,294.380005,288.829987,290.459991,286.787872,3351200,0.000000,0.000000
2024-10-28,293.600006,296.070007,292.489990,293.769989,290.056030,3867800,0.000000,0.000000
2024-10-29,294.000000,300.600006,292.809998,298.890015,295.111328,4280700,0.000000,0.000000
2024-10-30,297.070007,299.540009,296.350006,296.399994,292.652802,2826500,0.000000,0.000000
2024-10-31,292.600006,296.089996,289.549988,291.369995,287.686371,4301800,0.000000,0.000000
2024-11-01,290.230011,296.989990,290.000000,294.720001,290.994019,3527500,0.000000,0.000000
2024-11-04,297.989990,300.179993,292.920013,298.010010,294.242432,5107900,0.000000,0.000000
2024-11-05,297.440002,298.809998,294.739990,297.489990,293.729004,4456100,0.000000,0.000000
2024-11-06,305.000000,308.559998,303.070007,306.899994,303.020020,5874900,0.000000,0.000000
2024-11-07,307.500000,312.190002,306.000000,310.779999,306.850983,5722600,0.000000,0.000000
