date,open,high,low,close,adj_close,volume,dividends,stock_splits
2024-08-20,67.339996,67.529999,66.098747,66.632500,66.632500,15506000,0.000000,0.000000
2024-08-21,66.752502,68.605003,66.410751,68.302498,68.302498,21033600,0.000000,0.000000
2024-08-22,68.809998,69.625000,66.807503,66.910004,66.910004,17682800,0.000000,0.000000
2024-08-23,67.525002,68.400002,66.702499,67.885002,67.885002,12994400,0.000000,0.000000
2024-08-26,67.764999,67.934998,66.317497,66.467499,66.467499,14233600,0.000000,0.000000
2024-08-27,65.452499,67.607498,65.187500,67.457497,67.457497,14747600,0.000000,0.000000
2024-08-28,67.449997,67.680000,65.370003,66.050003,66.050003,28290400,0.000000,0.000000
2024-08-29,65.502502,71.432503,65.332497,67.917503,67.917503,52400800,0.000000,0.000000
2024-08-30,69.445000,71.027496,68.337502,69.320000,69.320000,26468000,0.000000,0.000000
2024-09-03,68.945000,69.377502,66.322502,66.650002,66.650002,22012800,0.000000,0.000000
2024-09-04,65.110001,66.799500,64.602501,64.830002,64.830002,17488800,0.000000,0.000000
2024-09-05,63.849998,64.750000,63.167500,64.107498,64.107498,15712000,0.000000,0.000000
2024-09-06,63.950001,64.349998,61.122501,61.597500,61.597500,17280400,0.000000,0.000000
2024-09-09,62.278751,62.375000,61.042500,61.645000,61.645000,12792800,0.000000,0.000000
2024-09-10,62.187500,62.582500,60.887501,61.935001,61.935001,8796800,0.000000,0.000000
2024-09-11,61.932499,63.645000,60.562500,63.382500,63.382500,10664400,0.000000,0.000000
2024-09-12,63.919998,64.595001,63.119999,64.275002,64.275002,10582800,0.000000,0.000000
2024-09-13,64.250000,65.394997,64.000000,64.782501,64.782501,8535600,0.000000,0.000000
2024-09-16,65.192497,67.512497,64.837502,66.952499,66.952499,14794400,0.000000,0.000000
2024-09-17,67.550003,68.099998,66.830002,67.180000,67.180000,11101600,0.000000,0.000000
2024-09-18,67.372498,68.004997,65.862503,66.779999,66.779999,12714400,0.000000,0.000000
2024-09-19,69.000000,70.997498,68.437500,69.345001,69.345001,24876000,0.000000,0.000000
2024-09-20,71.032501,75.112503,70.970001,74.962502,74.962502,71500400,0.000000,0.000000
2024-09-23,74.445000,75.539497,73.142502,73.285004,73.285004,22077200,0.000000,0.000000
2024-09-24,73.722504,73.849998,71.320000,72.135002,72.135002,16442800,0.000000,0.000000
