date,open,high,low,close,adj_close,volume,dividends,stock_splits
2024-08-20,34.349998,34.509998,34.090000,34.169998,33.455215,595554,0.000000,0.000000
2024-08-21,34.220001,34.529999,34.160000,34.369999,33.651031,595534,0.000000,0.000000
2024-08-22,34.369999,34.639999,34.340000,34.400002,33.680405,597181,0.000000,0.000000
2024-08-23,34.330002,34.389999,34.049999,34.250000,33.533546,827088,0.000000,0.000000
2024-08-26,34.200001,34.360001,34.080002,34.200001,33.484589,426077,0.000000,0.000000
2024-08-27,34.099998,34.459999,34.099998,34.310001,33.592289,477140,0.000000,0.000000
2024-08-28,34.320000,34.680000,34.259998,34.320000,33.602081,616130,0.000000,0.000000
2024-08-29,34.270000,35.400002,34.220001,35.270000,34.532207,1165392,0.000000,0.000000
2024-08-30,35.119999,35.680000,34.990002,35.279999,34.541996,1745999,0.000000,0.000000
2024-09-02,35.220001,35.389999,34.980000,35.220001,34.483253,502815,0.000000,0.000000
2024-09-03,35.180000,35.279999,34.619999,34.720001,33.993713,814386,0.000000,0.000000
2024-09-04,34.279999,34.700001,34.209999,34.299999,33.582497,1282749,0.000000,0.000000
2024-09-05,34.130001,34.330002,32.669998,32.869999,32.182411,1950914,0.000000,0.000000
2024-09-06,32.759998,33.759998,32.759998,33.520000,32.818813,1353719,0.000000,0.000000
2024-09-09,33.720001,34.119999,33.599998,34.029999,33.318146,1039712,0.000000,0.000000
2024-09-10,34.230000,34.919998,34.189999,34.639999,33.915382,1175017,0.000000,0.000000
2024-09-11,34.599998,35.599998,34.500000,35.419998,34.679070,2060773,0.000000,0.000000
2024-09-12,35.889999,36.200001,35.720001,35.770000,35.021748,1634042,0.000000,0.000000
2024-09-13,35.770000,36.220001,35.759998,36.160000,35.403587,1179660,0.000000,0.000000
2024-09-16,36.000000,36.139999,35.369999,35.500000,34.757393,1024381,0.000000,0.000000
2024-09-17,35.529999,35.750000,35.330002,35.380001,34.639908,1051657,0.000000,0.000000
2024-09-18,35.389999,35.549999,35.169998,35.410000,34.669277,1081546,0.000000,0.000000
2024-09-19,35.660000,36.680000,35.660000,36.549999,35.785431,1744944,0.000000,0.000000
2024-09-20,36.450001,36.700001,35.970001,36.009998,35.256725,2988567,0.000000,0.000000
2024-09-23,36.000000,36.369999,35.669998,36.090000,35.335052,970024,0.000000,0.000000
2024-09-24,36.290001,36.380001,35.290001,35.430000,34.688858,1614461,0.000000,0.000000
2024-09-25,35.119999,35.820000,34.990002,35.700001,34.953213,908421,0.000000,0.000000
2024-09-26,36.189999,36.930000,36.040001,36.580002,35.814804,1483178,0.000000,0.000000
2024-09-27,36.610001,36.770000,35.900002,36.650002,35.883343,1695162,0.000000,0.000000
2024-09-30,36.369999,36.430000,35.630001,35.630001,34.884674,1397579,0.000000,0.000000
2024-10-01,35.770000,36.090000,35.380001,35.619999,34.874886,1288401,0.000000,0.000000
2024-10-02,35.599998,35.660000,35.209999,35.660000,34.914051,1370924,0.000000,0.000000
2024-10-03,35.599998,35.639999,35.209999,35.480000,34.737812,1139303,0.000000,0.000000
2024-10-04,35.400002,35.560001,35.150002,35.400002,34.659489,1080957,0.000000,0.000000
2024-10-07,35.439999,35.540001,34.970001,35.110001,34.375557,781265,0.000000,0.000000
2024-10-08,34.849998,34.990002,34.349998,34.349998,33.631451,1410502,0.000000,0.000000
2024-10-09,34.470001,34.520000,33.080002,34.130001,33.416054,1903339,0.000000,0.000000
2024-10-10,34.080002,34.209999,33.599998,34.040001,33.327938,838309,0.000000,0.000000
2024-10-11,34.000000,34.070000,33.680000,33.970001,33.259403,939330,0.000000,0.000000
2024-10-14,33.919998,34.290001,33.820000,34.180000,33.465008,862091,0.000000,0.000000
2024-10-15,34.320000,34.430000,32.880001,32.880001,32.192200,1926172,0.000000,0.000000
2024-10-16,32.660000,33.029999,32.590000,32.590000,31.908268,2082812,0.000000,0.000000
2024-10-17,32.599998,33.070000,32.520000,32.830002,32.143250,1791637,0.000000,0.000000
2024-10-18,32.779999,33.549999,32.750000,33.310001,32.613209,1253121,0.000000,0.000000
2024-10-21,33.259998,33.500000,32.799999,33.009998,32.319481,1155947,0.000000,0.000000
2024-10-22,33.360001,33.439999,33.020000,33.310001,32.613209,1326963,0.000000,0.000000
2024-10-23,33.029999,33.430000,32.910000,33.130001,32.436974,1373504,0.000000,0.000000
2024-10-24,32.849998,33.360001,31.910000,32.349998,31.673286,2661738,0.000000,0.000000
2024-10-25,32.189999,32.580002,31.299999,31.520000,30.860651,1630060,0.000000,0.000000
