date,open,high,low,close,adj_close,volume,dividends,stock_splits
2024-08-20,74.540001,74.900002,74.339996,74.750000,70.576012,3668000,0.000000,0.000000
2024-08-21,74.849998,75.379997,74.800003,75.129997,70.934792,3659700,0.000000,0.000000
2024-08-22,75.570000,76.260002,75.349998,75.900002,71.661797,5930800,0.000000,0.000000
2024-08-23,76.089996,77.120003,75.910004,76.720001,72.436005,6847100,0.000000,0.000000
2024-08-26,76.800003,77.430000,76.419998,76.959999,72.662605,2926800,0.000000,0.000000
2024-08-27,77.209999,77.459999,76.690002,77.000000,72.700371,3902000,0.000000,0.000000
2024-08-28,77.459999,79.449997,77.230003,78.559998,74.173264,6214100,0.000000,0.000000
2024-08-29,78.930000,79.650002,78.250000,79.449997,75.013550,5544800,0.000000,0.000000
2024-08-30,79.430000,80.250000,78.599998,79.000000,74.588699,6205300,0.000000,0.000000
2024-09-03,79.790001,80.440002,79.400002,79.699997,75.249603,8733300,0.000000,0.000000
2024-09-04,79.669998,80.000000,78.720001,79.129997,74.711441,4580600,0.000000,0.000000
2024-09-05,78.949997,79.320000,77.739998,78.769997,74.371521,4306400,0.000000,0.000000
2024-09-06,79.110001,79.209999,78.260002,78.720001,74.324326,9220900,0.000000,0.000000
2024-09-09,78.400002,80.199997,78.360001,79.169998,74.749199,5571500,0.000000,0.000000
2024-09-10,79.169998,81.559998,78.730003,81.440002,76.892448,6869000,0.000000,0.000000
2024-09-11,81.139999,81.199997,79.639999,80.940002,76.420372,6144800,0.000000,0.000000
2024-09-12,83.019997,84.889999,81.980003,83.160004,78.516403,11448200,0.000000,0.000000
2024-09-13,81.949997,83.169998,81.570000,82.809998,78.916649,6530300,0.770000,0.000000
2024-09-16,83.000000,83.580002,82.519997,83.160004,79.250206,7844100,0.000000,0.000000
2024-09-17,83.059998,83.339996,82.379997,83.050003,79.145370,7078500,0.000000,0.000000
2024-09-18,83.370003,84.519997,82.760002,83.889999,79.945877,9199500,0.000000,0.000000
2024-09-19,84.389999,84.650002,83.430000,83.900002,79.955406,8798300,0.000000,0.000000
2024-09-20,83.260002,83.989998,82.750000,83.940002,79.993523,24926000,0.000000,0.000000
2024-09-23,84.250000,84.459999,83.480003,83.989998,80.041176,6474400,0.000000,0.000000
2024-09-24,83.790001,84.279999,83.339996,83.790001,79.850586,7985100,0.000000,0.000000
2024-09-25,83.940002,83.989998,82.150002,82.209999,78.344864,8375500,0.000000,0.000000
2024-09-26,82.019997,83.120003,81.830002,83.040001,79.135841,5654500,0.000000,0.000000
2024-09-27,83.230003,84.330002,83.040001,83.610001,79.679054,5456700,0.000000,0.000000
2024-09-30,83.150002,84.250000,83.139999,83.839996,79.898224,5116100,0.000000,0.000000
2024-10-01,83.820000,83.980003,82.820000,83.940002,79.993523,6619000,0.000000,0.000000
2024-10-02,83.330002,85.430000,83.099998,84.739998,80.755905,6042300,0.000000,0.000000
2024-10-03,84.250000,84.930000,84.010002,84.169998,80.212708,4086100,0.000000,0.000000
2024-10-04,84.339996,84.959999,83.980003,84.589996,80.612968,4054300,0.000000,0.000000
2024-10-07,85.050003,85.660004,84.339996,84.430000,80.460495,4692500,0.000000,0.000000
2024-10-08,84.519997,85.389999,84.320000,85.209999,81.203819,4593100,0.000000,0.000000
2024-10-09,85.180000,86.849998,85.059998,86.139999,82.090088,6162100,0.000000,0.000000
2024-10-10,85.830002,85.940002,84.589996,84.669998,80.689209,3814800,0.000000,0.000000
2024-10-11,84.860001,84.980003,84.169998,84.949997,80.956047,3982300,0.000000,0.000000
2024-10-14,84.919998,85.339996,84.339996,85.050003,81.051338,3493100,0.000000,0.000000
2024-10-15,85.180000,86.639999,84.800003,85.820000,81.785141,5133500,0.000000,0.000000
2024-10-16,85.830002,86.820000,85.830002,86.750000,82.671417,3181200,0.000000,0.000000
2024-10-17,86.919998,87.650002,86.589996,87.360001,83.252731,4287700,0.000000,0.000000
2024-10-18,86.790001,87.169998,86.010002,86.720001,82.642830,4365100,0.000000,0.000000
2024-10-21,86.639999,87.269997,85.919998,86.290001,82.233040,4451200,0.000000,0.000000
2024-10-22,85.680000,88.360001,85.599998,88.160004,84.015129,6044400,0.000000,0.000000
2024-10-23,88.150002,88.389999,87.139999,87.230003,83.128845,4373500,0.000000,0.000000
2024-10-24,87.720001,89.220001,87.620003,88.779999,84.605972,7183500,0.000000,0.000000
2024-10-25,89.449997,89.739998,88.449997,89.000000,84.815628,5734900,0.000000,0.000000
2024-10-28,89.239998,89.419998,88.519997,88.760002,84.586914,5961700,0.000000,0.000000
2024-10-29,88.379997,88.519997,86.809998,88.080002,83.938889,6655800,0.000000,0.000000
2024-10-30,87.900002,88.370003,87.480003,88.290001,84.139008,5846900,0.000000,0.000000
2024-10-31,87.940002,89.279999,87.739998,88.820000,84.644096,5894500,0.000000,0.000000
2024-11-01,88.309998,89.570000,88.190002,89.510002,85.301651,6485900,0.000000,0.000000
2024-11-04,89.489998,90.709999,89.370003,89.839996,85.616135,6124300,0.000000,0.000000
2024-11-05,89.639999,90.389999,89.010002,90.220001,85.978264,3960200,0.000000,0.000000
2024-11-06,91.000000,91.980003,90.500000,91.690002,87.379166,8819300,0.000000,0.000000
2024-11-07,94.000000,98.320000,93.510002,97.900002,93.297195,14389800,0.000000,0.000000
2024-11-08,96.050003,97.320000,94.910004,96.570000,92.029732,7456700,0.000000,0.000000
2024-11-11,96.400002,98.900002,96.300003,97.029999,92.468102,7094300,0.000000,0.000000
2024-11-12,96.349998,96.839996,94.230003,94.349998,89.914093,9322700,0.000000,0.000000
2024-11-13,94.129997,94.209999,91.629997,92.629997,88.274956,11060500,0.000000,0.000000
2024-11-14,92.309998,92.660004,91.300003,92.110001,87.779411,8202700,0.000000,0.000000
2024-11-15,91.709999,91.989998,88.209999,88.400002,84.243843,11454500,0.000000,0.000000
2024-11-18,88.389999,89.040001,87.629997,88.459999,84.301018,9099600,0.000000,0.000000
2024-11-19,87.629997,88.599998,86.080002,87.750000,83.624397,8179300,0.000000,0.000000
2024-11-20,88.110001,89.080002,87.769997,88.629997,84.463013,4781700,0.000000,0.000000
2024-11-21,89.070000,89.940002,88.070000,89.760002,85.539902,4057300,0.000000,0.000000
2024-11-22,89.809998,90.489998,89.269997,90.190002,85.949692,4545900,0.000000,0.000000
2024-11-25,90.750000,91.370003,89.500000,90.489998,86.235573,10754100,0.000000,0.000000
2024-11-26,90.339996,91.680000,89.629997,91.349998,87.055138,4406500,0.000000,0.000000
2024-11-27,91.440002,92.900002,91.440002,92.410004,88.065308,5527200,0.000000,0.000000
2024-11-29,92.839996,93.160004,92.330002,92.580002,88.227318,3851000,0.000000,0.000000
2024-12-02,92.529999,94.360001,92.489998,94.019997,89.599609,5023100,0.000000,0.000000
2024-12-03,93.809998,94.389999,92.459999,92.489998,88.141541,5532000,0.000000,0.000000
2024-12-04,92.589996,92.599998,89.860001,91.589996,87.283852,9124300,0.000000,0.000000
2024-12-05,91.599998,94.269997,91.599998,93.389999,88.999222,12428600,0.000000,0.000000
2024-12-06,93.500000,94.220001,92.029999,92.129997,87.798470,4470700,0.000000,0.000000
2024-12-09,91.860001,92.150002,90.500000,90.589996,86.330879,7396100,0.000000,0.000000
2024-12-10,91.349998,92.949997,90.639999,92.339996,87.998596,6748200,0.000000,0.000000
2024-12-11,92.400002,94.650002,91.940002,92.379997,88.036705,7525100,0.000000,0.000000
2024-12-12,92.459999,93.220001,91.440002,92.379997,88.036705,5782700,0.000000,0.000000
2024-12-13,91.660004,92.110001,89.150002,91.860001,88.276955,7515500,0.770000,0.000000
2024-12-16,91.959999,93.260002,91.900002,92.050003,88.459557,7068100,0.000000,0.000000
2024-12-17,91.879997,93.589996,91.879997,92.800003,89.180305,6125300,0.000000,0.000000
2024-12-18,92.720001,93.500000,90.589996,90.690002,87.152596,6616100,0.000000,0.000000
2024-12-19,90.400002,91.480003,90.269997,91.089996,87.536995,8875200,0.000000,0.000000
2024-12-20,90.919998,93.290001,90.709999,92.570000,88.959274,22530200,0.000000,0.000000
2024-12-23,92.620003,93.519997,91.790001,93.400002,89.756905,4809500,0.000000,0.000000
2024-12-24,93.000000,94.050003,92.099998,93.949997,90.285439,2109100,0.000000,0.000000
2024-12-26,93.169998,94.550003,92.980003,94.410004,90.727501,2915400,0.000000,0.000000
2024-12-27,93.430000,94.379997,93.430000,94.110001,90.439201,3349300,0.000000,0.000000
2024-12-30,93.930000,94.000000,91.720001,92.010002,88.421112,3613200,0.000000,0.000000
2024-12-31,92.589996,92.980003,91.779999,92.370003,88.767082,3482500,0.000000,0.000000
2025-01-02,92.620003,92.830002,91.400002,91.879997,88.296181,3495200,0.000000,0.000000
2025-01-03,92.190002,92.339996,91.309998,91.410004,87.844528,4265200,0.000000,0.000000
2025-01-06,90.750000,91.529999,90.330002,91.230003,87.671539,6779400,0.000000,0.000000
2025-01-07,90.889999,91.510002,90.510002,90.629997,87.094933,5811900,0.000000,0.000000
2025-01-08,90.680000,90.680000,89.000000,89.139999,85.663055,8054200,0.000000,0.000000
2025-01-10,90.190002,91.430000,88.570000,89.879997,86.374191,7869700,0.000000,0.000000
2025-01-13,90.300003,90.370003,89.019997,89.940002,86.431854,6523300,0.000000,0.000000
