date,open,high,low,close,adj_close,volume,dividends,stock_splits
2024-08-20,196.705719,198.198318,195.648056,197.763382,190.020721,3096095,0.000000,0.000000
2024-08-21,198.524506,199.453674,197.585464,199.097824,191.302963,1805617,0.000000,0.000000
2024-08-22,198.435547,199.048401,197.022034,197.832581,190.087234,1970316,0.000000,0.000000
2024-08-23,199.364716,200.442139,198.524506,200.145599,192.309708,2982789,0.000000,0.000000
2024-08-26,201.242798,202.458618,200.570648,201.499802,193.610901,1856200,0.000000,0.000000
2024-08-27,201.618423,203.921555,201.410843,203.733749,195.757355,2389650,0.000000,0.000000
2024-08-28,204.227982,204.712341,201.440506,202.636551,194.703156,2366079,0.000000,0.000000
2024-08-29,203.941330,206.007233,202.083008,205.117615,197.087051,2396833,0.000000,0.000000
2024-08-30,205.582199,206.343307,202.933090,205.513000,197.466980,1945834,0.000000,0.000000
2024-09-03,205.255997,205.513000,201.756805,202.498169,194.570175,2080891,0.000000,0.000000
2024-09-04,202.903442,204.741989,202.814468,203.170319,195.216019,1759789,0.000000,0.000000
2024-09-05,202.824356,203.061584,199.364716,200.639832,192.784607,1529838,0.000000,0.000000
2024-09-06,200.659607,200.758453,195.568985,195.845749,188.178192,2570333,0.000000,0.000000
2024-09-09,197.674423,199.374588,196.853989,198.840820,191.056000,2327231,0.000000,0.000000
2024-09-10,197.990738,198.860596,196.280685,198.633240,190.856583,1411675,0.000000,0.000000
2024-09-11,198.524506,202.003922,195.084625,201.687622,193.791367,2769631,0.000000,0.000000
2024-09-12,201.588776,202.626663,199.542633,202.310349,194.389725,1967382,0.000000,0.000000
2024-09-13,202.112656,203.249405,201.213150,201.796341,193.895813,1996316,0.000000,0.000000
2024-09-16,203.625015,204.564072,201.381195,202.320236,194.399216,1580421,0.000000,0.000000
2024-09-17,202.636551,203.368011,201.203262,201.885315,193.981323,1458414,0.000000,0.000000
2024-09-18,201.885315,202.359772,198.277390,199.315292,191.511902,2419292,0.000000,0.000000
2024-09-19,201.806229,203.170319,199.849060,201.351532,193.468430,2726635,0.000000,0.000000
2024-09-20,201.440506,201.440506,199.631592,201.005569,193.136002,3874469,0.000000,0.000000
2024-09-23,201.657959,201.697495,200.274109,201.420731,193.534912,2290204,0.000000,0.000000
2024-09-24,201.420731,203.625015,200.353180,202.903442,194.959579,2611812,0.000000,0.000000
2024-09-25,203.822708,205.364731,202.893555,204.396027,196.393738,2891435,0.000000,0.000000
2024-09-26,205.325195,206.096191,204.178558,204.643143,196.631180,1616638,0.000000,0.000000
2024-09-27,205.107727,208.419098,204.741989,205.236221,197.201050,2482926,0.000000,0.000000
2024-09-30,205.700806,206.392731,201.875427,204.326828,196.327240,2655010,0.000000,0.000000
2024-10-01,204.050064,205.601959,202.468506,203.694214,195.719421,2327130,0.000000,0.000000
