date,open,high,low,close,adj_close,volume,dividends,stock_splits
2024-08-20,483.000000,488.480011,482.329987,483.209991,483.209991,885500,0.000000,0.000000
2024-08-21,484.200012,488.470001,482.000000,487.420013,487.420013,886300,0.000000,0.000000
2024-08-22,490.000000,491.829987,486.920013,490.429993,490.429993,1137800,0.000000,0.000000
2024-08-23,492.619995,493.970001,478.179993,486.549988,486.549988,1155200,0.000000,0.000000
2024-08-26,486.880005,487.279999,476.880005,479.190002,479.190002,1170900,0.000000,0.000000
2024-08-27,478.440002,483.570007,477.000000,482.350006,482.350006,939900,0.000000,0.000000
2024-08-28,482.929993,485.359985,479.239990,482.209991,482.209991,960100,0.000000,0.000000
2024-08-29,482.209991,491.660004,481.250000,487.170013,487.170013,939600,0.000000,0.000000
2024-08-30,489.160004,493.440002,485.279999,492.630005,492.630005,1097700,0.000000,0.000000
2024-09-03,491.670013,493.420013,480.799988,483.440002,483.440002,1356300,0.000000,0.000000
2024-09-04,480.959991,484.649994,478.279999,481.730011,481.730011,1321000,0.000000,0.000000
2024-09-05,480.320007,480.320007,468.459991,476.690002,476.690002,1194800,0.000000,0.000000
2024-09-06,476.920013,478.250000,466.000000,471.820007,471.820007,1700000,0.000000,0.000000
2024-09-09,475.000000,479.989990,473.980011,479.390015,479.390015,1121500,0.000000,0.000000
2024-09-10,477.500000,484.790009,477.500000,484.239990,484.239990,1006500,0.000000,0.000000
2024-09-11,484.179993,491.829987,477.079987,490.929993,490.929993,1239200,0.000000,0.000000
2024-09-12,491.910004,494.149994,486.049988,494.010010,494.010010,1128000,0.000000,0.000000
2024-09-13,490.279999,496.179993,489.190002,489.859985,489.859985,1238000,0.000000,0.000000
2024-09-16,493.470001,494.010010,488.570007,491.390015,491.390015,921200,0.000000,0.000000
2024-09-17,491.269989,491.269989,482.380005,483.320007,483.320007,1162600,0.000000,0.000000
2024-09-18,484.209991,488.750000,479.579987,482.089996,482.089996,982300,0.000000,0.000000
2024-09-19,492.000000,492.739990,486.980011,490.010010,490.010010,1225000,0.000000,0.000000
2024-09-20,485.109985,486.299988,480.160004,486.200012,486.200012,2734000,0.000000,0.000000
2024-09-23,488.500000,491.829987,486.269989,489.070007,489.070007,927200,0.000000,0.000000
2024-09-24,490.510010,490.510010,482.350006,484.399994,484.399994,1120800,0.000000,0.000000
2024-09-25,486.000000,487.119995,482.290009,484.390015,484.390015,897800,0.000000,0.000000
2024-09-26,488.250000,490.950012,484.760010,486.329987,486.329987,871400,0.000000,0.000000
2024-09-27,490.029999,490.029999,478.570007,479.179993,479.179993,1013300,0.000000,0.000000
2024-09-30,480.000000,492.250000,478.690002,491.269989,491.269989,1654100,0.000000,0.000000
2024-10-01,492.500000,496.480011,481.709991,484.760010,484.760010,1181100,0.000000,0.000000
2024-10-02,482.720001,489.709991,478.619995,486.619995,486.619995,740900,0.000000,0.000000
2024-10-03,484.420013,486.000000,478.559998,479.630005,479.630005,764500,0.000000,0.000000
2024-10-04,484.450012,484.450012,476.600006,481.950012,481.950012,903700,0.000000,0.000000
2024-10-07,476.859985,479.309998,470.059998,471.230011,471.230011,1175200,0.000000,0.000000
2024-10-08,473.790009,482.880005,473.790009,480.790009,480.790009,1040300,0.000000,0.000000
2024-10-09,480.600006,490.579987,478.489990,490.380005,490.380005,1061000,0.000000,0.000000
2024-10-10,486.230011,488.260010,483.200012,483.839996,483.839996,942100,0.000000,0.000000
2024-10-11,486.000000,487.579987,483.119995,484.779999,484.779999,1170000,0.000000,0.000000
2024-10-14,487.040009,488.630005,483.970001,487.609985,487.609985,883500,0.000000,0.000000
2024-10-15,488.000000,489.630005,476.679993,478.470001,478.470001,1313300,0.000000,0.000000
2024-10-16,478.109985,479.519989,473.510010,476.589996,476.589996,1037500,0.000000,0.000000
2024-10-17,481.059998,481.059998,472.119995,473.730011,473.730011,1959000,0.000000,0.000000
2024-10-18,496.000000,523.340027,495.000000,521.150024,521.150024,4059200,0.000000,0.000000
2024-10-21,519.039978,522.669983,514.549988,518.859985,518.859985,1309600,0.000000,0.000000
2024-10-22,515.000000,519.179993,511.809998,517.500000,517.500000,1341500,0.000000,0.000000
2024-10-23,513.890015,516.000000,507.279999,512.580017,512.580017,1120000,0.000000,0.000000
2024-10-24,510.790009,515.309998,509.779999,511.630005,511.630005,755400,0.000000,0.000000
2024-10-25,514.000000,516.890015,510.459991,511.269989,511.269989,982200,0.000000,0.000000
2024-10-28,513.659973,514.330017,508.279999,510.880005,510.880005,842800,0.000000,0.000000
2024-10-29,506.519989,517.500000,504.350006,516.309998,516.309998,1064800,0.000000,0.000000
2024-10-30,516.559998,516.989990,508.010010,513.770020,513.770020,1113100,0.000000,0.000000
2024-10-31,510.010010,511.059998,500.670013,503.839996,503.839996,1468700,0.000000,0.000000
2024-11-01,502.019989,510.809998,502.010010,506.339996,506.339996,1041900,0.000000,0.000000
2024-11-04,504.320007,511.209991,503.850006,507.420013,507.420013,849500,0.000000,0.000000
2024-11-05,506.329987,518.250000,506.329987,515.169983,515.169983,1113400,0.000000,0.000000
2024-11-06,523.130005,525.000000,506.799988,515.549988,515.549988,1776100,0.000000,0.000000
2024-11-07,516.000000,524.830017,515.580017,524.280029,524.280029,1209000,0.000000,0.000000
2024-11-08,525.500000,538.489990,524.000000,536.450012,536.450012,1427700,0.000000,0.000000
2024-11-11,539.890015,542.590027,534.570007,535.750000,535.750000,2097800,0.000000,0.000000
2024-11-12,534.000000,538.909973,531.690002,537.070007,537.070007,1455900,0.000000,0.000000
2024-11-13,535.429993,540.020020,534.039978,536.690002,536.690002,1405200,0.000000,0.000000
2024-11-14,537.359985,544.380005,537.130005,537.799988,537.799988,1908300,0.000000,0.000000
2024-11-15,533.210022,536.979980,526.710022,527.609985,527.609985,1447800,0.000000,0.000000
2024-11-18,527.359985,537.530029,526.609985,531.640015,531.640015,1268000,0.000000,0.000000
2024-11-19,527.570007,540.080017,526.010010,538.820007,538.820007,1143200,0.000000,0.000000
2024-11-20,538.780029,542.369995,533.830017,541.820007,541.820007,985400,0.000000,0.000000
2024-11-21,544.849976,551.780029,540.359985,550.619995,550.619995,1396000,0.000000,0.000000
2024-11-22,549.840027,552.000000,541.989990,547.869995,547.869995,1375400,0.000000,0.000000
2024-11-25,548.820007,549.309998,533.559998,536.549988,536.549988,2076800,0.000000,0.000000
2024-11-26,542.059998,545.000000,537.280029,542.099976,542.099976,1152600,0.000000,0.000000
2024-11-27,543.080017,543.969971,538.229980,538.549988,538.549988,938400,0.000000,0.000000
2024-11-29,539.000000,543.169983,536.030029,542.000000,542.000000,718600,0.000000,0.000000
2024-12-02,546.299988,546.450012,540.200012,542.849976,542.849976,1005300,0.000000,0.000000
2024-12-03,537.020020,541.989990,533.010010,541.710022,541.710022,1379300,0.000000,0.000000
2024-12-04,542.010010,552.080017,539.200012,549.950012,549.950012,1350400,0.000000,0.000000
2024-12-05,548.000000,551.809998,544.429993,547.650024,547.650024,945200,0.000000,0.000000
2024-12-06,548.210022,556.229980,548.210022,550.409973,550.409973,1026200,0.000000,0.000000
2024-12-09,552.309998,553.559998,532.140015,538.859985,538.859985,1429200,0.000000,0.000000
