date,open,high,low,close,adj_close,volume,dividends,stock_splits
2024-08-20,215.000000,216.000000,213.679993,214.520004,205.870132,5640000,0.000000,0.000000
2024-08-21,214.429993,215.000000,212.839996,214.600006,205.946899,5202300,0.000000,0.000000
2024-08-22,214.580002,216.800003,214.339996,216.630005,207.895050,5247100,0.000000,0.000000
2024-08-23,217.600006,219.190002,216.500000,218.309998,209.507324,7214000,0.000000,0.000000
2024-08-26,219.009995,219.679993,218.050003,219.169998,210.332642,5105200,0.000000,0.000000
2024-08-27,219.509995,220.419998,219.190002,220.179993,211.301895,5185200,0.000000,0.000000
2024-08-28,219.250000,222.210007,219.190002,221.289993,212.367142,6506400,0.000000,0.000000
2024-08-29,222.149994,222.979996,218.940002,222.210007,213.250076,6416100,0.000000,0.000000
2024-08-30,222.500000,225.479996,221.929993,224.800003,215.735611,8574100,0.000000,0.000000
2024-09-03,222.300003,224.100006,219.240005,220.300003,211.417068,8956100,0.000000,0.000000
2024-09-04,221.039993,222.070007,217.210007,219.330002,210.486176,7389500,0.000000,0.000000
2024-09-05,220.149994,220.800003,216.029999,217.630005,208.854736,8067900,0.000000,0.000000
2024-09-06,217.600006,218.740005,211.089996,212.460007,203.893219,7777000,0.000000,0.000000
2024-09-09,215.190002,218.149994,214.179993,216.809998,208.067810,8935100,0.000000,0.000000
2024-09-10,218.600006,218.639999,200.610001,205.559998,197.271408,28406900,0.000000,0.000000
2024-09-11,205.250000,207.699997,201.830002,207.229996,198.874084,13658700,0.000000,0.000000
2024-09-12,207.649994,208.779999,204.889999,206.600006,198.269501,9054400,0.000000,0.000000
2024-09-13,206.860001,207.850006,203.020004,204.320007,196.081451,10226700,0.000000,0.000000
2024-09-16,205.830002,208.210007,205.589996,207.860001,199.478683,8634900,0.000000,0.000000
2024-09-17,207.729996,209.929993,207.660004,209.250000,200.812622,7573300,0.000000,0.000000
2024-09-18,209.009995,211.339996,206.699997,207.529999,199.161972,8259900,0.000000,0.000000
2024-09-19,209.779999,211.910004,207.339996,210.479996,201.993027,11635200,0.000000,0.000000
2024-09-20,209.929993,211.419998,209.500000,211.089996,202.578445,20885000,0.000000,0.000000
2024-09-23,211.000000,211.800003,209.990005,211.440002,202.914337,7223500,0.000000,0.000000
2024-09-24,211.149994,212.949997,210.369995,211.589996,203.058273,7323200,0.000000,0.000000
2024-09-25,211.679993,212.240005,208.610001,210.190002,201.714722,8976500,0.000000,0.000000
2024-09-26,211.130005,211.699997,209.009995,209.779999,201.321259,7807500,0.000000,0.000000
2024-09-27,210.649994,212.440002,209.330002,210.500000,202.012238,7032500,0.000000,0.000000
2024-09-30,206.309998,210.960007,205.259995,210.860001,202.357727,8663800,0.000000,0.000000
2024-10-01,208.899994,209.089996,206.190002,207.039993,198.691711,8540100,0.000000,0.000000
