date,open,high,low,close,adj_close,volume,dividends,stock_splits
2024-08-20,81.920998,82.386002,80.300003,81.156998,79.949905,6854000,0.000000,0.000000
2024-08-21,81.867996,83.328003,81.221001,82.713997,81.483742,6185000,0.000000,0.000000
2024-08-22,82.838997,83.199997,79.385002,79.851997,78.664330,9199000,0.000000,0.000000
2024-08-23,81.669998,82.433998,80.000000,81.783997,80.567566,6858000,0.000000,0.000000
2024-08-26,81.339996,81.339996,79.314003,79.897003,78.708649,7785000,0.000000,0.000000
2024-08-27,79.654999,81.416000,78.293999,81.278999,80.070099,6871000,0.000000,0.000000
2024-08-28,80.921997,81.995003,79.500000,80.427002,79.230774,6489000,0.000000,0.000000
2024-08-29,81.417999,82.557999,79.197998,79.574997,78.391434,8065000,0.000000,0.000000
2024-08-30,81.356003,81.995003,79.754997,81.943001,80.724220,10793000,0.000000,0.000000
2024-09-03,80.558998,80.708000,73.717003,74.142998,73.040230,16612000,0.000000,0.000000
2024-09-04,73.500000,74.988998,72.463997,74.511002,73.402756,9272000,0.000000,0.000000
2024-09-05,72.578003,74.321999,72.276001,72.806000,71.723114,8183000,0.000000,0.000000
2024-09-06,72.806000,72.820000,69.679001,70.279999,69.234695,13906000,0.000000,0.000000
2024-09-09,71.502998,71.750999,69.656998,70.988998,69.933128,8399000,0.000000,0.000000
2024-09-10,70.988998,71.699997,69.641998,71.346001,70.284821,7789000,0.000000,0.000000
2024-09-11,71.528000,75.161003,70.389999,74.882004,73.768234,11291000,0.000000,0.000000
2024-09-12,74.686996,74.686996,73.000000,73.328003,72.237350,10707000,0.000000,0.000000
2024-09-13,74.137001,75.459000,74.091003,75.150002,74.032257,5867000,0.000000,0.000000
2024-09-16,73.500000,74.299004,72.614998,73.639999,72.544708,8630000,0.000000,0.000000
2024-09-17,74.933998,75.092003,73.345001,73.959999,72.859947,8555000,0.000000,0.000000
2024-09-18,74.955002,75.214996,72.978996,73.103996,72.016670,8178000,0.000000,0.000000
2024-09-19,75.931999,78.221001,75.518997,77.242996,76.094124,12411000,0.000000,0.000000
2024-09-20,76.264999,76.536003,74.926003,75.885002,74.756325,16226000,0.000000,0.000000
2024-09-23,76.627998,77.039001,75.855003,76.126999,74.994720,4388000,0.000000,0.000000
2024-09-24,77.199997,77.569000,75.220001,77.033997,75.888237,8213000,0.000000,0.000000
2024-09-25,76.290001,78.199997,75.969002,77.206001,76.057671,5751000,0.000000,0.000000
2024-09-26,81.344002,82.199997,78.000000,80.455002,79.258347,9080000,0.000000,0.000000
2024-09-27,80.795998,80.846001,77.790001,78.239998,77.076286,6274000,0.000000,0.000000
2024-09-30,77.307999,78.125999,76.128998,77.441002,76.289185,9329000,0.000000,0.000000
2024-10-01,77.847000,78.691002,74.615997,75.369003,74.248001,12796000,0.000000,0.000000
2024-10-02,76.066002,78.744003,75.500000,77.736000,76.579796,7018000,0.000000,0.000000
2024-10-03,76.486000,78.399002,76.400002,77.456001,76.303955,5842000,0.000000,0.000000
2024-10-04,80.045998,80.045998,77.721001,78.738998,77.567871,7573000,0.000000,0.000000
2024-10-07,77.773003,78.790001,77.183998,78.167000,77.004379,7481000,0.000000,0.000000
2024-10-08,78.190002,79.366997,77.424004,78.389999,77.224060,6534000,0.000000,0.000000
2024-10-09,78.203003,80.678001,78.035004,80.462997,79.266235,6285000,0.000000,0.000000
2024-10-10,79.135002,79.982002,78.699997,79.797997,78.611122,4619000,0.000000,0.000000
2024-10-11,79.278000,80.641998,79.266998,80.373001,79.177574,5708000,0.000000,0.000000
2024-10-14,80.936996,83.300003,80.936996,82.964996,81.731010,5679000,0.000000,0.000000
2024-10-15,82.552002,83.237999,69.896004,70.772003,69.719368,28709000,0.000000,0.000000
2024-10-16,72.056999,72.075996,68.200996,68.259003,67.243736,22806000,0.000000,0.000000
2024-10-17,70.098000,70.122002,66.968002,67.025002,66.028091,19365000,0.000000,0.000000
2024-10-18,66.792999,68.190002,66.431999,67.851997,66.842796,11928000,0.000000,0.000000
2024-10-21,67.750000,67.974998,66.739998,67.361000,66.359100,7393000,0.000000,0.000000
2024-10-22,67.000000,67.315002,66.365997,67.008003,66.011353,7874000,0.000000,0.000000
2024-10-23,66.463997,67.231003,65.464996,66.462997,65.474457,8468000,0.000000,0.000000
2024-10-24,67.875000,68.439003,66.543999,66.615997,65.625175,8847000,0.000000,0.000000
2024-10-25,66.967003,68.283997,66.800003,67.306999,66.305923,9548000,0.000000,0.000000
2024-10-28,67.315002,67.914001,67.021004,67.434998,66.432007,10518000,0.000000,0.000000
2024-10-29,67.500000,70.040001,67.376999,69.623001,68.587463,13339000,0.000000,0.000000
2024-10-30,68.199997,69.518997,68.000999,69.180000,68.151054,16568000,0.000000,0.000000
2024-10-31,67.764999,68.105003,65.599998,66.623001,65.632088,20012000,0.000000,0.000000
2024-11-01,66.650002,67.864998,66.344002,66.938004,65.942406,9064000,0.000000,0.000000
2024-11-04,66.724998,67.056000,66.236000,66.336998,65.350327,6379000,0.000000,0.000000
2024-11-05,66.907997,68.154999,66.724998,67.032997,66.035980,10163000,0.000000,0.000000
