date,open,high,low,close,adj_close,volume,dividends,stock_splits
2024-08-20,137.820007,139.789993,137.820007,139.169998,136.176727,3738300,0.000000,0.000000
2024-08-21,138.800003,140.300003,138.550003,140.199997,137.184601,3776800,0.000000,0.000000
2024-08-22,140.699997,141.080002,137.649994,138.080002,135.110199,5162200,0.000000,0.000000
2024-08-23,138.729996,139.789993,137.259995,139.190002,136.196320,4544600,0.000000,0.000000
2024-08-26,139.389999,139.399994,138.190002,138.899994,135.912552,2729600,0.000000,0.000000
2024-08-27,137.850006,139.500000,137.740005,138.479996,135.501587,3872200,0.000000,0.000000
2024-08-28,138.830002,138.949997,136.910004,137.880005,134.914490,3022600,0.000000,0.000000
2024-08-29,139.139999,141.160004,138.850006,139.419998,136.421387,4588400,0.000000,0.000000
2024-08-30,140.330002,141.720001,140.100006,141.289993,138.251144,7980700,0.000000,0.000000
2024-09-03,140.449997,142.199997,138.830002,139.500000,136.499649,6831200,0.000000,0.000000
2024-09-04,138.440002,141.100006,137.949997,140.750000,137.722763,6243300,0.000000,0.000000
2024-09-05,141.399994,143.279999,140.309998,142.610001,139.542770,8733200,0.000000,0.000000
2024-09-06,143.789993,143.940002,139.399994,141.809998,138.759964,11154800,0.000000,0.000000
2024-09-09,142.490005,143.300003,139.509995,139.889999,136.881287,20233400,0.000000,0.000000
2024-09-10,154.229996,160.520004,153.119995,155.889999,152.537125,37374200,0.000000,0.000000
2024-09-11,156.779999,159.440002,154.839996,157.179993,153.799362,12630100,0.000000,0.000000
2024-09-12,159.039993,162.339996,157.899994,161.380005,157.909042,16161300,0.000000,0.000000
2024-09-13,173.699997,173.940002,161.000000,162.029999,158.545090,25727800,0.000000,0.000000
2024-09-16,164.990005,173.990005,164.509995,170.330002,166.666565,27384400,0.000000,0.000000
2024-09-17,170.279999,170.639999,166.770004,167.470001,163.868073,12580100,0.000000,0.000000
2024-09-18,167.619995,167.619995,163.729996,164.529999,160.991302,12274400,0.000000,0.000000
2024-09-19,167.250000,168.160004,164.509995,167.589996,163.985489,10075900,0.000000,0.000000
2024-09-20,167.130005,168.830002,166.600006,168.000000,164.386658,12187700,0.000000,0.000000
2024-09-23,167.229996,167.330002,164.259995,165.949997,162.380753,7916100,0.000000,0.000000
2024-09-24,165.740005,166.100006,163.919998,165.800003,162.233994,6155100,0.000000,0.000000
2024-09-25,167.690002,168.750000,165.660004,166.279999,162.703690,7142400,0.000000,0.000000
2024-09-26,167.649994,168.360001,166.479996,168.100006,164.484528,7096800,0.000000,0.000000
2024-09-27,168.089996,169.110001,166.509995,168.740005,165.110779,8974400,0.000000,0.000000
2024-09-30,169.500000,170.520004,166.449997,170.399994,166.735031,10210300,0.000000,0.000000
2024-10-01,170.220001,170.509995,165.970001,167.160004,163.564743,7595100,0.000000,0.000000
2024-10-02,167.600006,169.179993,167.270004,167.710007,164.102921,7073000,0.000000,0.000000
2024-10-03,166.889999,167.860001,166.240005,166.860001,163.271179,4735700,0.000000,0.000000
2024-10-04,168.710007,170.899994,168.169998,170.860001,167.185135,6386900,0.000000,0.000000
2024-10-07,170.419998,172.330002,169.550003,169.970001,166.314301,6791000,0.000000,0.000000
2024-10-08,170.600006,174.639999,170.440002,174.369995,170.619659,7845400,0.000000,0.000000
2024-10-09,174.559998,178.610001,173.809998,178.289993,174.455368,8120900,0.000000,0.000000
2024-10-10,177.649994,178.300003,174.179993,175.410004,172.023239,7115900,0.400000,0.000000
2024-10-11,175.500000,177.000000,174.399994,175.770004,172.376297,5869400,0.000000,0.000000
2024-10-14,176.550003,177.220001,175.500000,176.119995,172.719513,4688700,0.000000,0.000000
2024-10-15,176.940002,178.220001,173.750000,174.089996,170.728714,5848600,0.000000,0.000000
2024-10-16,173.500000,174.910004,171.639999,174.770004,171.395599,6383000,0.000000,0.000000
2024-10-17,177.500000,177.750000,175.139999,175.679993,172.288010,5474000,0.000000,0.000000
2024-10-18,176.800003,176.970001,174.580002,174.690002,171.317139,5001300,0.000000,0.000000
2024-10-21,174.449997,175.149994,173.160004,173.759995,170.405075,4198400,0.000000,0.000000
2024-10-22,175.449997,175.850006,174.279999,175.309998,171.925186,5510100,0.000000,0.000000
2024-10-23,174.500000,176.070007,173.009995,173.100006,169.757828,4830400,0.000000,0.000000
2024-10-24,173.320007,174.949997,172.910004,174.380005,171.013123,3488000,0.000000,0.000000
2024-10-25,174.779999,176.289993,173.100006,173.520004,170.169724,3674700,0.000000,0.000000
2024-10-28,174.050003,174.169998,172.139999,172.419998,169.090942,4330000,0.000000,0.000000
2024-10-29,172.289993,174.020004,172.289993,173.429993,170.081451,4122900,0.000000,0.000000
2024-10-30,173.979996,176.160004,172.789993,174.559998,171.189636,5822500,0.000000,0.000000
2024-10-31,170.520004,170.880005,167.399994,167.839996,164.599396,9477500,0.000000,0.000000
2024-11-01,170.149994,172.270004,169.100006,170.020004,166.737320,5680600,0.000000,0.000000
2024-11-04,170.309998,170.479996,168.729996,169.589996,166.315613,4804400,0.000000,0.000000
2024-11-05,170.470001,171.889999,170.320007,171.779999,168.463333,5456800,0.000000,0.000000
2024-11-06,178.520004,182.100006,177.419998,181.240005,177.740662,11085000,0.000000,0.000000
2024-11-07,181.080002,186.669998,180.539993,186.369995,182.771622,7759400,0.000000,0.000000
2024-11-08,186.259995,190.160004,186.259995,189.250000,185.596039,8520400,0.000000,0.000000
2024-11-11,191.050003,191.500000,187.839996,189.130005,185.478348,5973600,0.000000,0.000000
2024-11-12,188.539993,190.610001,187.199997,189.580002,185.919632,6629900,0.000000,0.000000
2024-11-13,189.000000,191.770004,188.789993,189.630005,185.968689,5695400,0.000000,0.000000
2024-11-14,188.660004,189.589996,186.710007,187.050003,183.438477,7804300,0.000000,0.000000
2024-11-15,184.520004,185.800003,182.330002,183.740005,180.192383,8986300,0.000000,0.000000
2024-11-18,184.300003,186.179993,182.880005,185.729996,182.143982,6289400,0.000000,0.000000
2024-11-19,184.889999,189.320007,184.320007,188.899994,185.252762,8117000,0.000000,0.000000
2024-11-20,190.899994,190.970001,187.820007,190.750000,187.067062,4860200,0.000000,0.000000
2024-11-21,191.940002,196.039993,191.639999,192.429993,188.714615,11394300,0.000000,0.000000
2024-11-22,193.000000,194.199997,191.059998,192.289993,188.577301,6879400,0.000000,0.000000
2024-11-25,194.500000,194.750000,187.990005,187.990005,184.360367,15138500,0.000000,0.000000
2024-11-26,188.320007,192.399994,188.320007,190.369995,186.694382,6427200,0.000000,0.000000
2024-11-27,188.960007,188.960007,182.220001,182.699997,179.172501,8368800,0.000000,0.000000
2024-11-29,184.009995,185.929993,184.000000,184.839996,181.271133,4628000,0.000000,0.000000
2024-12-02,185.289993,185.289993,181.000000,181.410004,177.907394,8859700,0.000000,0.000000
2024-12-03,181.179993,183.039993,179.110001,182.889999,179.358810,8917100,0.000000,0.000000
2024-12-04,188.000000,189.789993,185.899994,188.190002,184.556503,8906300,0.000000,0.000000
2024-12-05,189.020004,189.020004,185.850006,186.240005,182.644135,6398100,0.000000,0.000000
2024-12-06,187.000000,192.630005,186.380005,191.690002,187.988892,10503400,0.000000,0.000000
2024-12-09,196.300003,198.309998,188.929993,190.449997,186.772858,20158000,0.000000,0.000000
2024-12-10,173.460007,177.800003,171.059998,177.740005,174.308273,26502000,0.000000,0.000000
2024-12-11,178.000000,181.380005,174.830002,178.580002,175.132034,13188700,0.000000,0.000000
2024-12-12,178.000000,178.169998,174.809998,175.320007,171.934967,8154200,0.000000,0.000000
2024-12-13,175.000000,176.139999,171.639999,173.389999,170.042252,8351100,0.000000,0.000000
2024-12-16,173.839996,174.270004,170.929993,171.229996,167.923935,9572000,0.000000,0.000000
2024-12-17,170.750000,172.990005,169.270004,169.710007,166.433289,8940200,0.000000,0.000000
2024-12-18,169.410004,171.229996,165.360001,165.410004,162.216324,8817900,0.000000,0.000000
2024-12-19,167.550003,171.000000,167.399994,168.789993,165.531052,8386400,0.000000,0.000000
2024-12-20,167.729996,171.259995,165.630005,169.660004,166.384277,13810500,0.000000,0.000000
2024-12-23,169.589996,169.619995,167.169998,169.139999,165.874283,6518200,0.000000,0.000000
2024-12-24,169.699997,171.770004,169.029999,171.410004,168.100479,2451500,0.000000,0.000000
2024-12-26,170.500000,172.550003,170.500000,171.679993,168.365250,4100100,0.000000,0.000000
2024-12-27,170.380005,171.149994,167.199997,168.960007,165.697769,4344300,0.000000,0.000000
2024-12-30,166.509995,167.910004,164.550003,166.910004,163.687347,5254800,0.000000,0.000000
2024-12-31,167.199997,167.300003,165.839996,166.639999,163.422562,4307500,0.000000,0.000000
2025-01-02,168.520004,168.690002,164.899994,166.029999,162.824341,5360800,0.000000,0.000000
2025-01-03,166.699997,167.199997,165.270004,166.320007,163.108749,5876000,0.000000,0.000000
2025-01-06,167.309998,168.050003,165.190002,165.690002,162.490906,6845400,0.000000,0.000000
2025-01-07,165.580002,166.160004,161.320007,162.029999,158.901566,7712200,0.000000,0.000000
2025-01-08,162.179993,163.979996,161.429993,163.139999,159.990158,7596200,0.000000,0.000000
2025-01-10,159.199997,159.199997,153.919998,154.500000,151.889389,13593900,0.400000,0.000000
2025-01-13,153.740005,154.149994,152.419998,153.919998,151.319168,8828500,0.000000,0.000000
2025-01-14,156.419998,157.250000,154.350006,156.309998,153.668808,7410200,0.000000,0.000000
2025-01-15,158.669998,159.149994,157.259995,158.309998,155.634979,10701200,0.000000,0.000000
2025-01-16,160.149994,161.500000,158.410004,159.539993,156.844223,9210600,0.000000,0.000000
2025-01-17,161.770004,163.160004,160.539993,161.029999,158.309036,11618300,0.000000,0.000000
2025-01-21,163.869995,173.369995,162.750000,172.570007,169.654037,30232000,0.000000,0.000000
2025-01-22,191.509995,191.990005,180.570007,184.220001,181.107193,48028500,0.000000,0.000000
2025-01-23,181.639999,186.570007,181.500000,186.470001,183.319183,17314600,0.000000,0.000000
2025-01-24,188.639999,189.100006,181.869995,183.600006,180.497681,12147200,0.000000,0.000000
2025-01-27,168.899994,172.520004,152.660004,158.279999,155.605484,42201600,0.000000,0.000000
2025-01-28,162.990005,165.830002,156.750000,164.000000,161.228851,20319300,0.000000,0.000000
2025-01-29,164.029999,164.029999,160.009995,162.020004,159.282318,9866600,0.000000,0.000000
2025-01-30,164.779999,171.490005,164.100006,170.380005,167.501068,14981700,0.000000,0.000000
2025-01-31,170.410004,173.000000,169.130005,170.059998,167.186462,8704600,0.000000,0.000000
2025-02-03,163.199997,169.899994,163.199997,168.600006,165.751129,8250600,0.000000,0.000000
2025-02-04,170.399994,170.399994,166.350006,167.889999,165.053131,6777000,0.000000,0.000000
2025-02-05,168.990005,171.889999,168.520004,171.660004,168.759430,7866700,0.000000,0.000000
2025-02-06,173.000000,175.649994,171.570007,172.350006,169.437744,7036900,0.000000,0.000000
2025-02-07,175.000000,177.389999,173.179993,174.460007,171.512115,9991300,0.000000,0.000000
2025-02-10,176.000000,179.990005,174.919998,178.919998,175.896759,7625900,0.000000,0.000000
2025-02-11,177.619995,179.119995,176.449997,177.190002,174.195999,6528800,0.000000,0.000000
2025-02-12,174.889999,174.889999,170.710007,172.220001,169.309967,7454800,0.000000,0.000000
2025-02-13,173.000000,174.380005,172.100006,173.860001,170.922241,6421700,0.000000,0.000000
2025-02-14,174.250000,175.029999,172.809998,174.160004,171.217178,7260900,0.000000,0.000000
2025-02-18,176.750000,182.240005,176.089996,179.800003,176.761887,11430500,0.000000,0.000000
2025-02-19,178.580002,181.679993,175.699997,181.520004,178.452820,8688500,0.000000,0.000000
2025-02-20,179.809998,180.270004,174.429993,176.000000,173.026077,8737000,0.000000,0.000000
2025-02-21,176.119995,176.880005,167.550003,167.809998,164.974472,9713900,0.000000,0.000000
2025-02-24,173.570007,174.169998,164.660004,169.960007,167.088135,10639100,0.000000,0.000000
2025-02-25,169.289993,170.600006,164.440002,168.539993,165.692154,8316100,0.000000,0.000000
2025-02-26,170.979996,173.869995,169.130005,172.470001,169.555740,6915100,0.000000,0.000000
2025-02-27,173.000000,174.860001,164.580002,164.759995,161.976013,7436800,0.000000,0.000000
2025-02-28,163.110001,166.149994,160.809998,166.059998,163.254044,12843300,0.000000,0.000000
2025-03-03,166.949997,167.119995,161.130005,162.020004,159.282318,8081800,0.000000,0.000000
2025-03-04,159.220001,159.759995,153.520004,157.470001,154.809174,13171900,0.000000,0.000000
2025-03-05,158.059998,162.490005,157.050003,161.559998,158.830078,7141000,0.000000,0.000000
2025-03-06,157.160004,157.160004,149.729996,150.940002,148.389526,12321200,0.000000,0.000000
2025-03-07,150.619995,156.479996,148.500000,155.160004,152.538223,12646500,0.000000,0.000000
2025-03-10,150.529999,152.520004,146.800003,148.789993,146.275864,21486100,0.000000,0.000000
2025-03-11,143.419998,145.779999,137.699997,144.179993,141.743759,27200200,0.000000,0.000000
2025-03-12,146.229996,152.229996,145.009995,150.889999,148.340378,15373900,0.000000,0.000000
2025-03-13,149.789993,150.169998,145.479996,147.660004,145.164963,14187700,0.000000,0.000000
2025-03-14,148.919998,150.880005,147.880005,149.270004,146.747742,9330000,0.000000,0.000000
2025-03-17,150.399994,155.750000,150.399994,154.009995,151.407639,9885000,0.000000,0.000000
2025-03-18,152.369995,152.419998,148.630005,149.449997,146.924698,9402500,0.000000,0.000000
2025-03-19,150.059998,154.070007,150.000000,152.449997,149.874008,6909500,0.000000,0.000000
2025-03-20,151.580002,154.490005,150.820007,152.720001,150.139465,7051600,0.000000,0.000000
2025-03-21,151.649994,153.839996,150.110001,152.229996,149.657730,17620200,0.000000,0.000000
2025-03-24,156.339996,156.600006,154.029999,154.869995,152.253128,7848300,0.000000,0.000000
2025-03-25,154.509995,155.600006,153.050003,153.929993,151.329010,8521200,0.000000,0.000000
2025-03-26,152.889999,153.029999,146.559998,147.800003,145.302597,13210000,0.000000,0.000000
2025-03-27,145.850006,147.039993,144.919998,145.779999,143.316711,9148300,0.000000,0.000000
2025-03-28,143.779999,145.649994,139.110001,140.869995,138.489685,13144500,0.000000,0.000000
2025-03-31,138.639999,140.589996,136.759995,139.809998,137.447601,15509900,0.000000,0.000000
2025-04-01,139.759995,143.250000,138.759995,141.940002,139.541611,9518500,0.000000,0.000000
2025-04-02,139.860001,147.889999,139.860001,145.860001,143.395355,11594400,0.000000,0.000000
2025-04-03,139.250000,141.399994,136.639999,137.229996,134.911163,14433800,0.000000,0.000000
2025-04-04,132.910004,133.820007,126.949997,128.270004,126.102592,14986900,0.000000,0.000000
2025-04-07,118.860001,134.110001,118.860001,127.160004,125.011345,19482700,0.000000,0.000000
2025-04-08,132.539993,132.990005,121.699997,124.500000,122.396294,11950300,0.000000,0.000000
2025-04-09,123.400002,140.589996,123.400002,139.690002,137.329620,17762000,0.000000,0.000000
2025-04-10,136.649994,136.649994,129.259995,133.350006,131.567703,12401600,0.500000,0.000000
2025-04-11,132.110001,133.000000,128.839996,132.350006,130.581055,10190200,0.000000,0.000000
2025-04-14,136.800003,136.800003,132.869995,134.639999,132.840454,8217700,0.000000,0.000000
2025-04-15,134.759995,136.479996,133.720001,133.940002,132.149826,8630000,0.000000,0.000000
2025-04-16,132.279999,132.539993,127.849998,129.759995,128.025635,8295200,0.000000,0.000000
2025-04-17,130.899994,131.300003,128.440002,128.619995,126.900909,8925500,0.000000,0.000000
2025-04-21,126.889999,127.199997,121.239998,122.820000,121.178429,12201200,0.000000,0.000000
2025-04-22,124.500000,127.989998,123.389999,127.239998,125.539345,11233700,0.000000,0.000000
2025-04-23,134.910004,135.869995,130.990005,131.399994,129.643753,9528900,0.000000,0.000000
2025-04-24,132.509995,137.860001,132.000000,137.509995,135.672058,7305900,0.000000,0.000000
2025-04-25,137.490005,139.000000,136.759995,138.490005,136.638977,5476400,0.000000,0.000000
2025-04-28,139.649994,140.669998,138.080002,140.139999,138.266922,6985100,0.000000,0.000000
2025-04-29,139.809998,141.160004,139.550003,140.789993,138.908249,4851500,0.000000,0.000000
2025-04-30,138.479996,141.300003,135.570007,140.720001,138.839172,9443500,0.000000,0.000000
2025-05-01,146.559998,148.639999,145.339996,145.490005,143.545410,11525800,0.000000,0.000000
2025-05-02,148.330002,153.059998,148.330002,150.729996,148.715393,11346000,0.000000,0.000000
2025-05-05,149.440002,150.820007,148.520004,149.289993,147.294632,5187400,0.000000,0.000000
2025-05-06,146.979996,148.940002,145.720001,147.699997,145.725876,5108600,0.000000,0.000000
2025-05-07,147.500000,149.899994,147.240005,149.369995,147.373550,6049600,0.000000,0.000000
2025-05-08,149.050003,151.809998,148.610001,150.300003,148.291122,6113600,0.000000,0.000000
2025-05-09,150.039993,151.800003,149.789993,150.339996,148.330612,4707100,0.000000,0.000000
2025-05-12,156.309998,157.429993,154.419998,157.220001,155.118652,7875500,0.000000,0.000000
2025-05-13,158.220001,163.220001,157.570007,162.270004,160.101151,11955200,0.000000,0.000000
2025-05-14,162.360001,163.410004,161.059998,162.949997,160.772034,7499400,0.000000,0.000000
2025-05-15,161.360001,161.740005,158.910004,159.399994,157.269501,10169200,0.000000,0.000000
2025-05-16,160.000000,160.839996,158.520004,160.490005,158.344940,8515500,0.000000,0.000000
2025-05-19,158.300003,161.970001,157.830002,159.639999,157.506287,10268900,0.000000,0.000000
2025-05-20,158.630005,160.360001,157.529999,160.309998,158.167328,7576400,0.000000,0.000000
2025-05-21,158.350006,160.899994,156.460007,157.179993,155.079163,6011000,0.000000,0.000000
2025-05-22,156.979996,159.190002,156.820007,157.309998,155.207443,7603300,0.000000,0.000000
2025-05-23,154.990005,157.380005,154.259995,155.970001,153.885345,6527500,0.000000,0.000000
2025-05-27,159.320007,162.399994,158.919998,161.910004,159.745956,6976800,0.000000,0.000000
2025-05-28,161.869995,164.320007,161.279999,163.850006,161.660019,8090700,0.000000,0.000000
2025-05-29,165.000000,165.320007,161.490005,162.899994,160.722733,6994700,0.000000,0.000000
