date,open,high,low,close,adj_close,volume,dividends,stock_splits
2024-08-20,200.440002,204.449997,198.089996,202.539993,191.663818,7111400,0.000000,0.000000
2024-08-21,206.350006,210.880005,204.899994,208.369995,197.180756,8119300,0.000000,0.000000
2024-08-22,208.460007,209.639999,202.800003,203.770004,192.827774,6879900,0.000000,0.000000
2024-08-23,206.820007,210.509995,206.309998,209.880005,198.609680,6112000,0.000000,0.000000
2024-08-26,209.000000,210.009995,207.550003,208.250000,197.067215,5806000,0.000000,0.000000
2024-08-27,207.919998,211.110001,207.559998,210.690002,199.376221,4373400,0.000000,0.000000
2024-08-28,210.630005,211.270004,205.970001,207.740005,196.584610,3998100,0.000000,0.000000
2024-08-29,210.639999,214.410004,209.649994,211.089996,199.754700,5622800,0.000000,0.000000
2024-08-30,212.580002,214.660004,211.399994,214.339996,202.830170,5860900,0.000000,0.000000
2024-09-03,211.949997,211.949997,201.190002,201.830002,190.991943,9284000,0.000000,0.000000
2024-09-04,201.619995,205.740005,200.289993,204.000000,193.045425,4650400,0.000000,0.000000
2024-09-05,202.300003,204.270004,199.679993,201.550003,190.727005,4107400,0.000000,0.000000
2024-09-06,201.500000,201.869995,196.729996,197.449997,186.847153,6314400,0.000000,0.000000
2024-09-09,202.089996,202.289993,198.990005,201.169998,190.367416,4864100,0.000000,0.000000
2024-09-10,201.169998,201.279999,197.029999,199.800003,189.070984,4859400,0.000000,0.000000
2024-09-11,199.699997,202.820007,195.039993,202.410004,191.540833,5900500,0.000000,0.000000
2024-09-12,201.600006,202.000000,194.669998,195.979996,185.456116,7201000,0.000000,0.000000
2024-09-13,197.110001,200.880005,196.830002,199.929993,189.193985,4617000,0.000000,0.000000
2024-09-16,198.720001,199.500000,195.990005,198.470001,187.812378,3717800,0.000000,0.000000
2024-09-17,199.440002,202.250000,198.929993,201.389999,190.575592,3478500,0.000000,0.000000
2024-09-18,202.679993,204.970001,199.960007,200.710007,189.932098,4262100,0.000000,0.000000
2024-09-19,207.610001,210.559998,205.690002,207.600006,196.452103,5155600,0.000000,0.000000
2024-09-20,204.380005,205.259995,201.080002,203.300003,192.383026,14502900,0.000000,0.000000
2024-09-23,203.889999,204.820007,202.839996,203.850006,192.903503,2757400,0.000000,0.000000
2024-09-24,206.059998,208.419998,204.610001,204.940002,193.934982,5573200,0.000000,0.000000
2024-09-25,203.139999,205.369995,203.119995,205.059998,194.048508,4124600,0.000000,0.000000
2024-09-26,210.320007,210.570007,205.059998,209.259995,198.022949,4521300,0.000000,0.000000
2024-09-27,210.830002,211.720001,208.809998,209.139999,197.909424,3074400,0.000000,0.000000
2024-09-30,206.100006,208.699997,204.100006,206.570007,195.477432,5459100,0.000000,0.000000
2024-10-01,206.059998,207.020004,199.699997,201.600006,190.774323,9039900,0.000000,0.000000
2024-10-02,202.910004,205.750000,201.710007,203.429993,192.506027,4389400,0.000000,0.000000
2024-10-03,201.080002,203.440002,200.270004,201.669998,190.840561,3167000,0.000000,0.000000
2024-10-04,206.100006,206.360001,201.339996,202.710007,191.824722,4092900,0.000000,0.000000
2024-10-07,200.589996,202.779999,199.669998,201.270004,190.462036,2772400,0.000000,0.000000
2024-10-08,200.979996,203.250000,199.240005,202.210007,191.351562,6283700,0.000000,0.000000
2024-10-09,201.550003,205.500000,201.380005,204.970001,193.963348,3214900,0.000000,0.000000
2024-10-10,201.960007,203.360001,200.880005,202.470001,191.597580,3649400,0.000000,0.000000
2024-10-11,201.369995,205.789993,201.369995,205.110001,194.095810,2815800,0.000000,0.000000
2024-10-14,206.139999,208.960007,205.639999,208.660004,197.455200,3291600,0.000000,0.000000
2024-10-15,208.020004,208.649994,198.899994,199.839996,189.108826,6818800,0.000000,0.000000
2024-10-16,201.979996,202.100006,199.279999,200.690002,189.913162,3311300,0.000000,0.000000
2024-10-17,204.899994,204.899994,198.110001,198.300003,187.651520,4686900,0.000000,0.000000
2024-10-18,199.479996,199.960007,196.740005,198.470001,187.812378,4029500,0.000000,0.000000
2024-10-21,196.740005,197.929993,194.119995,195.770004,185.257385,4948100,0.000000,0.000000
2024-10-22,193.610001,195.300003,192.850006,193.970001,183.554031,7910800,0.000000,0.000000
2024-10-23,201.039993,203.000000,198.000000,201.740005,190.906815,10548500,0.000000,0.000000
2024-10-24,202.820007,206.910004,201.210007,206.610001,195.515259,9309300,0.000000,0.000000
2024-10-25,207.610001,211.389999,206.750000,206.929993,195.818069,5103100,0.000000,0.000000
2024-10-28,206.369995,207.309998,205.000000,205.830002,194.777176,4409000,0.000000,0.000000
2024-10-29,206.139999,211.589996,205.309998,211.350006,200.000748,5522800,0.000000,0.000000
2024-10-30,208.000000,210.809998,207.750000,207.929993,196.764389,4914000,0.000000,0.000000
2024-10-31,207.960007,207.960007,201.399994,203.160004,193.516266,6543000,1.360000,0.000000
2024-11-01,203.080002,206.720001,203.080002,204.919998,195.192703,4208800,0.000000,0.000000
2024-11-04,203.490005,205.600006,202.550003,203.660004,193.992538,3693800,0.000000,0.000000
2024-11-05,202.070007,205.520004,199.720001,202.460007,192.849487,5253200,0.000000,0.000000
2024-11-06,208.929993,215.679993,208.369995,214.970001,204.765671,8527500,0.000000,0.000000
2024-11-07,215.800003,218.250000,215.570007,217.539993,207.213654,6020800,0.000000,0.000000
2024-11-08,217.050003,220.389999,216.210007,220.289993,209.833115,5020700,0.000000,0.000000
2024-11-11,218.009995,219.729996,214.330002,215.869995,205.622910,6154700,0.000000,0.000000
2024-11-12,215.389999,215.410004,209.000000,212.779999,202.679611,4990800,0.000000,0.000000
2024-11-13,211.009995,211.850006,205.339996,205.720001,195.954742,7921800,0.000000,0.000000
2024-11-14,205.270004,207.070007,204.380005,206.000000,196.221451,4783800,0.000000,0.000000
2024-11-15,203.850006,204.770004,200.279999,201.119995,191.573105,5970400,0.000000,0.000000
2024-11-18,202.199997,207.669998,201.529999,207.179993,197.345428,7912100,0.000000,0.000000
2024-11-19,205.889999,206.330002,200.990005,201.070007,191.525482,6716000,0.000000,0.000000
2024-11-20,198.080002,199.600006,196.470001,198.190002,188.782181,7344400,0.000000,0.000000
2024-11-21,198.250000,200.429993,195.899994,198.199997,188.791702,8080300,0.000000,0.000000
2024-11-22,197.770004,198.910004,196.500000,198.000000,188.601196,7861300,0.000000,0.000000
2024-11-25,201.429993,204.139999,199.960007,202.929993,193.297180,9274400,0.000000,0.000000
2024-11-26,206.000000,206.910004,199.149994,200.949997,191.411179,5260500,0.000000,0.000000
2024-11-27,200.639999,201.419998,197.649994,199.190002,189.734741,4732200,0.000000,0.000000
2024-11-29,200.080002,202.509995,199.699997,201.029999,191.487366,3167400,0.000000,0.000000
2024-12-02,199.779999,202.410004,198.479996,201.779999,192.201782,6373900,0.000000,0.000000
2024-12-03,198.660004,199.970001,197.000000,197.229996,187.867752,4743400,0.000000,0.000000
2024-12-04,197.699997,198.470001,195.610001,196.649994,187.315277,7172600,0.000000,0.000000
2024-12-05,195.750000,197.149994,192.210007,192.990005,183.829025,6049100,0.000000,0.000000
2024-12-06,193.660004,195.139999,192.600006,193.100006,183.933792,5140700,0.000000,0.000000
2024-12-09,192.029999,197.809998,191.600006,193.449997,184.267181,3880300,0.000000,0.000000
2024-12-10,193.330002,193.690002,189.440002,190.179993,181.152390,6064200,0.000000,0.000000
2024-12-11,192.139999,192.970001,190.210007,191.699997,182.600235,6057800,0.000000,0.000000
2024-12-12,190.500000,192.259995,189.600006,191.710007,182.609787,4025600,0.000000,0.000000
2024-12-13,188.809998,192.229996,188.300003,191.589996,182.495468,4772800,0.000000,0.000000
2024-12-16,191.860001,191.979996,189.179993,189.460007,180.466583,5829700,0.000000,0.000000
2024-12-17,189.119995,191.500000,187.509995,188.119995,179.190201,5046100,0.000000,0.000000
2024-12-18,188.449997,192.360001,184.809998,185.000000,176.218292,8281900,0.000000,0.000000
2024-12-19,186.889999,187.360001,183.880005,184.470001,175.713486,6290000,0.000000,0.000000
2024-12-20,184.470001,188.470001,183.350006,186.869995,177.999527,11462100,0.000000,0.000000
2024-12-23,186.029999,190.419998,186.029999,190.139999,181.114319,4297600,0.000000,0.000000
2024-12-24,190.490005,192.470001,190.470001,192.440002,183.305145,1950900,0.000000,0.000000
2024-12-26,190.610001,192.720001,190.520004,191.729996,182.628830,2019000,0.000000,0.000000
2024-12-27,190.440002,191.779999,189.690002,191.179993,182.104919,3253500,0.000000,0.000000
2024-12-30,189.690002,189.690002,187.210007,187.960007,179.037781,4065200,0.000000,0.000000
2024-12-31,188.660004,189.100006,186.059998,187.509995,178.609146,3050500,0.000000,0.000000
2025-01-02,189.320007,190.130005,184.970001,186.949997,178.075745,4500500,0.000000,0.000000
2025-01-03,188.929993,191.139999,187.199997,190.509995,181.466736,4574100,0.000000,0.000000
2025-01-06,190.250000,193.770004,189.240005,192.179993,183.057480,4682000,0.000000,0.000000
2025-01-07,193.820007,195.009995,191.089996,192.210007,183.086060,5035200,0.000000,0.000000
2025-01-08,191.800003,192.690002,188.070007,191.660004,182.562164,4230400,0.000000,0.000000
2025-01-10,192.910004,192.910004,188.419998,190.149994,181.123840,7223500,0.000000,0.000000
2025-01-13,189.830002,191.759995,187.649994,191.089996,182.019211,4799600,0.000000,0.000000
2025-01-14,191.539993,193.610001,190.179993,193.500000,184.314819,4254200,0.000000,0.000000
2025-01-15,195.669998,198.949997,195.669998,197.509995,188.134460,6288600,0.000000,0.000000
2025-01-16,195.169998,195.479996,187.139999,187.369995,178.475800,7463300,0.000000,0.000000
2025-01-17,192.539993,192.929993,190.020004,192.419998,183.286087,5407500,0.000000,0.000000
2025-01-21,191.669998,196.500000,191.600006,195.229996,185.962692,9621700,0.000000,0.000000
2025-01-22,195.770004,198.679993,195.300003,197.050003,187.696304,8222000,0.000000,0.000000
2025-01-23,194.820007,200.639999,193.809998,200.610001,191.087311,12694700,0.000000,0.000000
2025-01-24,190.000000,191.500000,185.029999,185.520004,176.713623,15856600,0.000000,0.000000
2025-01-27,185.750000,190.089996,183.699997,187.029999,178.151932,11771300,0.000000,0.000000
2025-01-28,185.529999,185.649994,180.350006,180.570007,171.998596,8720300,0.000000,0.000000
2025-01-29,181.020004,181.669998,179.610001,180.270004,171.712830,4183800,0.000000,0.000000
2025-01-30,180.500000,185.869995,180.270004,185.270004,176.475464,5807100,0.000000,0.000000
2025-01-31,183.779999,189.029999,183.080002,184.610001,177.147171,6333700,1.360000,0.000000
2025-02-03,183.029999,183.309998,178.399994,180.940002,173.625549,6311500,0.000000,0.000000
2025-02-04,180.020004,183.050003,179.550003,180.559998,173.260895,5785700,0.000000,0.000000
2025-02-05,179.509995,181.800003,177.690002,181.589996,174.249237,5939800,0.000000,0.000000
2025-02-06,181.279999,183.639999,180.339996,183.279999,175.870941,5089800,0.000000,0.000000
2025-02-07,183.279999,183.419998,179.279999,180.000000,172.723557,5380500,0.000000,0.000000
2025-02-10,181.350006,181.570007,179.100006,180.309998,173.020996,3827100,0.000000,0.000000
