date,open,high,low,close,adj_close,volume,dividends,stock_splits
2024-08-21,73.720001,74.290001,73.059998,73.480003,73.480003,9290200,0.000000,0.000000
2024-08-22,73.550003,74.120003,72.669998,73.309998,73.309998,9571900,0.000000,0.000000
2024-08-23,72.849998,74.455002,72.349998,74.300003,74.300003,13065600,0.000000,0.000000
2024-08-26,74.300003,74.300003,72.110001,72.610001,72.610001,10999900,0.000000,0.000000
2024-08-27,72.489998,73.089996,71.800003,72.559998,72.559998,7294100,0.000000,0.000000
2024-08-28,72.500000,72.550003,71.019997,71.849998,71.849998,9529400,0.000000,0.000000
2024-08-29,72.500000,73.279999,72.129997,72.239998,72.239998,9300800,0.000000,0.000000
2024-08-30,72.889999,73.418999,72.059998,73.129997,73.129997,12676900,0.000000,0.000000
2024-09-03,72.570000,73.610001,71.209999,71.889999,71.889999,13053300,0.000000,0.000000
2024-09-04,71.519997,72.690002,71.300003,71.559998,71.559998,7995800,0.000000,0.000000
2024-09-05,71.080002,72.620003,70.919998,71.250000,71.250000,8890900,0.000000,0.000000
2024-09-06,71.129997,72.019997,68.728996,69.580002,69.580002,11449800,0.000000,0.000000
2024-09-09,70.949997,71.190002,69.633003,69.800003,69.800003,8804600,0.000000,0.000000
2024-09-10,70.000000,70.459999,67.639999,68.989998,68.989998,20227200,0.000000,0.000000
2024-09-11,68.830002,70.220001,67.120003,70.110001,70.110001,14671900,0.000000,0.000000
2024-09-12,70.059998,70.489998,67.849998,68.089996,68.089996,16357900,0.000000,0.000000
2024-09-13,72.400002,72.754997,70.940002,72.480003,72.480003,30376500,0.000000,0.000000
2024-09-16,72.360001,72.500000,71.040001,71.519997,71.519997,12016700,0.000000,0.000000
2024-09-17,71.970001,73.730003,71.309998,72.779999,72.779999,14639800,0.000000,0.000000
2024-09-18,72.769997,74.739998,72.192001,73.500000,73.500000,11720900,0.000000,0.000000
2024-09-19,74.980003,76.459999,74.559998,75.279999,75.279999,17698400,0.000000,0.000000
2024-09-20,74.820000,75.050003,73.450996,73.940002,73.940002,17472700,0.000000,0.000000
2024-09-23,75.110001,75.269997,73.779999,74.709999,74.709999,8285300,0.000000,0.000000
2024-09-24,76.000000,77.510002,75.970001,77.440002,77.440002,16099200,0.000000,0.000000
2024-09-25,77.510002,78.279999,77.080002,77.139999,77.139999,12552600,0.000000,0.000000
2024-09-26,78.360001,78.449997,75.129997,76.690002,76.690002,14788600,0.000000,0.000000
